t_id;t_이름;등급;gradeplus;t_sealtype;아이템레벨;t_속성타입;t_강화타입;t_크리쳐등급;t_봉인된펠로우효과1;t_봉인된펠로우효과2;t_봉인된펠로우효과3;t_최대강화봉인펠로우효과;rfgrade;rfeff;t_스킬효과;매입가;처분가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;특성력;사용기간;t_판매대행분류;통합채널사용불가;중첩갯수;expweight
SF2_101_1_0012;그림자 사냥개;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0013;긴 발톱 흑표범;1.000000;0.000000;sd;1.000000;no;so;C;무기극대력+,3,5,77;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;15.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0014;긴 송곳니 흑표범;1.000000;0.000000;sd;1.000000;no;so;C;무기극대력+,3,5,77;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;21.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0015;우두머리 트루탄;2.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,4,8,62;무기물리방어력+,11,18,48;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;75.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0016;굶주린 불곰;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;14.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0017;긴 발톱 불곰;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;14.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0018;세발가락 검은 곰;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;21.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0019;세발가락 검은 곰;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0020;거친갈기 멧돼지;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;3.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0021;거친갈기 멧돼지;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;3.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0022;큰어금니 멧돼지;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;5.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0023;성난 물소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;20.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0024;거친털 들소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;18.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0025;광폭해진 젖소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0026;난폭해진 황소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;21.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0027;난폭해진 황소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0028;거친 그림자 펜리스;2.000000;0.000000;sd;1.000000;no;so;C;최대HP+,21,41,183;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;65.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0029;약삭빠른 푸른늑대;1.000000;0.000000;sd;2.000000;no;so;C;무기물리공격력+,6,12,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;27.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0030;사나운 푸른 늑대;1.000000;0.000000;sd;2.000000;no;so;C;무기물리공격력+,6,12,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;27.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0031;늑대왕 라샤카;2.000000;0.000000;sd;2.000000;no;so;C;최대HP+,41,81,183;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;140.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0032;서리발톱 백곰;2.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,4,8,62;무기물리방어력+,11,18,48;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;125.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0033;거대거미 타슬란;2.000000;0.000000;sd;1.000000;no;so;C;MTL+,1,1,4;무기물리방어력+,11,18,48;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;35.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0034;시체 거미;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;24.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0035;서리 거미;2.000000;0.000000;sd;1.000000;no;so;C;MTL+,1,1,4;무기물리방어력+,11,18,48;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;120.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0036;서리 어금니 포치;2.000000;0.000000;sd;1.000000;no;so;C;최대HP+,21,41,183;VTL+,1,1,4;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;35.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0037;길들여진 들소;1.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,5,9,48;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;21.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0038;유적지 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;11.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0039;흰갈기 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0040;검은갈기 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;15.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0041;수정뿔 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;14.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0042;흰갈기 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0043;검은 발굽 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;19.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0044;흰 수염 로가튼;2.000000;0.000000;sd;1.000000;no;so;C;INT+,5,9,33;MTL+,1,1,4;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;105.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0045;모리네 호수 거북이;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;18.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0046;블랙 윈드;2.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,2,4;최대HP+,25,41,183;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;120.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0047;난폭한 조랑말(미사용);1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0048;검은 늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;5.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0049;유적지 타란툴라;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;6.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0050;마그마하운드;2.000000;0.000000;sd;1.000000;no;so;C;마법방어력+,7,14,38;무기물리공격력+,5,8,62;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;80.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0051;라바 토르투스;1.000000;0.000000;sd;1.000000;no;so;C;최대HP+,11,21,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0052;유니콘;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;17.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0053;불새 불꽃 그림자;1.000000;0.000000;sd;1.000000;no;so;C;STR+,2,4,16;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;25.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0054;광폭한 멧돼지;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;7.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0055;설원 호랑이;1.000000;0.000000;sd;2.000000;no;so;C;무기극대력+,7,14,77;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;29.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0056;얼음 송곳니 크루거;2.000000;0.000000;sd;2.000000;no;so;C;STR+,5,10,16;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;145.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0057;길들인 설원 호랑이;1.000000;0.000000;sd;2.000000;no;so;C;무기극대력+,7,14,77;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;28.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0058;흉폭한 회색곰;1.000000;0.000000;sd;2.000000;no;so;C;최대HP+,21,41,183;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;29.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0059;광폭한 우루;2.000000;0.000000;sd;2.000000;no;so;C;무기물리공격력+,12,23,62;무기물리방어력+,16,27,48;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;150.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0060;각진 뿔 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;15.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0061;이그니스 하운드;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0062;암흑마룡 카라샤;3.000000;0.000000;sd;1.000000;no;so;C;최대HP+,108,216,183;allstat+,10,16,12;*;allstat+,6,7;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;390.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0063;거대거미 파툴라;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;10.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0064;천둥 갑옷새;1.000000;0.000000;sd;1.000000;no;so;C;STR+,2,4,16;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;17.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0065;회색 늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;4.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0066;회색 늑대(미사용);1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;1.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0067;투명 드래곤;2.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,4,8,62;무기극대화확률+,1,1,1;*;allstat+,2,4;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;250.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0068;가오리 운송선;2.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,4,8,62;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;250.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0069;하얀 추적자;1.000000;0.000000;sd;1.000000;no;so;C;VTL+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0070;청색 그림자;1.000000;0.000000;sd;1.000000;no;so;C;VTL+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;22.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0071;불새 검은 폭풍;1.000000;0.000000;sd;1.000000;no;so;C;STR+,2,4,16;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;25.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0072;부유고래;2.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,4,8,62;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;250.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0073;전투마;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;30.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0074;백마;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;30.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0075;난폭한 보케플로스;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0076;페가수스;2.000000;0.000000;sd;1.000000;no;so;C;무기물리방어력+,9,17,48;*;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;75.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0077;아리다;1.000000;0.000000;sd;1.000000;no;so;C;VTL+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;17.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0078;라이루드;2.000000;0.000000;sd;1.000000;no;so;C;STR+,4,7,16;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;115.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0079;스칼레다;2.000000;0.000000;sd;1.000000;no;so;C;최대HP+,21,41,183;최대MP+,22,36,126;*;allstat+,2,4;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;110.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0080;아론사우르스;1.000000;0.000000;sd;1.000000;no;so;C;STR+,2,4,16;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;18.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0081;플로티어;1.000000;0.000000;sd;1.000000;no;so;C;마법물리공격력+,9,18,68;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;37.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0082;키샤르;2.000000;0.000000;sd;1.000000;no;so;C;마법극대력+,30,59,113;무기물리방어력+,20,34,48;*;allstat+,2,4;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;180.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0083;바라누스;2.000000;0.000000;sd;1.000000;no;so;C;마법방어력+,7,14,38;무기극대력+,6,10,77;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;95.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0084;래니티;1.000000;0.000000;sd;1.000000;no;so;C;회피력+,1,1,4;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;10.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0085;큰 유적지 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0086;흰갈기 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0087;순한 유적지 순록;1.000000;0.000000;sd;1.000000;no;so;C;최대MP+,9,18,126;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;11.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
