t_랜덤아이템id;t_이름;개발용;t_사용클래스;등급;요구레벨;제한레벨;아이템레벨;재사용시간공유;재사용시간;재사용시간초기화;ps_재사용시간초기화;매입가;처분가;중첩갯수;생성개수;t_스킬효과;t_랜덤박스타입;드랍불가;거래불능;처분불능;파괴불능;t_귀속;t_판매대행분류;t_id;캐쉬;구매제한;드랍시레벨검사무시;contentslevel;통합채널사용불가
GD1513box;라비니족의 가디언 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD1513box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2011box;라비니족의 가디언 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2011box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2012box;라비니족의 가디언 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2012box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2013box;라비니족의 가디언 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2013box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2511box;라비니족의 가디언 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2511box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2512box;라비니족의 가디언 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2512box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD2513box;라비니족의 가디언 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2513box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD3011box;라비니족의 가디언 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD3011box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD3012box;라비니족의 가디언 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD3012box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD3013box;라비니족의 가디언 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD3013box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF1511box;라비니족의 어쌔신 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF1511box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF1512box;라비니족의 어쌔신 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF1512box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF1513box;라비니족의 어쌔신 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF1513box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2011box;라비니족의 어쌔신 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2011box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2012box;라비니족의 어쌔신 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2012box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2013box;라비니족의 어쌔신 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2013box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2511box;라비니족의 어쌔신 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2511box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2512box;라비니족의 어쌔신 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2512box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF2513box;라비니족의 어쌔신 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2513box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF3011box;라비니족의 어쌔신 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF3011box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF3012box;라비니족의 어쌔신 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF3012box2;0.000000;0.000000;0.000000;1.000000;0.000000
TF3013box;라비니족의 어쌔신 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF3013box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR1511box;라비니족의 프리스트 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR1511box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR1512box;라비니족의 프리스트 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR1512box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR1513box;라비니족의 프리스트 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR1513box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2011box;라비니족의 프리스트 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2011box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2012box;라비니족의 프리스트 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2012box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2013box;라비니족의 프리스트 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2013box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2511box;라비니족의 프리스트 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2511box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2512box;라비니족의 프리스트 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2512box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR2513box;라비니족의 프리스트 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR2513box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR3011box;라비니족의 프리스트 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR3011box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR3012box;라비니족의 프리스트 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR3012box2;0.000000;0.000000;0.000000;1.000000;0.000000
PR3013box;라비니족의 프리스트 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;PR3013box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ1511box;라비니족의 위저드 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ1511box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ1512box;라비니족의 위저드 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ1512box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ1513box;라비니족의 위저드 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ1513box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2011box;라비니족의 위저드 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2011box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2012box;라비니족의 위저드 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2012box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2013box;라비니족의 위저드 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2013box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2511box;라비니족의 위저드 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2511box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2512box;라비니족의 위저드 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2512box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ2513box;라비니족의 위저드 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ2513box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ3011box;라비니족의 위저드 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ3011box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ3012box;라비니족의 위저드 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ3012box2;0.000000;0.000000;0.000000;1.000000;0.000000
WZ3013box;라비니족의 위저드 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WZ3013box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR1500box;라비니족의 버서커 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4632.000000;470.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR1500box1;0.000000;0.000000;0.000000;1.000000;0.000000
WR2000box;라비니족의 버서커 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5418.000000;550.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2000box1;0.000000;0.000000;0.000000;1.000000;0.000000
WR2500box;라비니족의 버서커 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;11673.000000;1170.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2500box1;0.000000;0.000000;0.000000;1.000000;0.000000
WR3000box;라비니족의 버서커 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;18002.000000;1810.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR3000box1;0.000000;0.000000;0.000000;1.000000;0.000000
GD1500box;라비니족의 가디언 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4632.000000;470.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD1500box1;0.000000;0.000000;0.000000;1.000000;0.000000
GD2000box;라비니족의 가디언 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5418.000000;550.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2000box1;0.000000;0.000000;0.000000;1.000000;0.000000
GD2500box;라비니족의 가디언 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;11673.000000;1170.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD2500box1;0.000000;0.000000;0.000000;1.000000;0.000000
GD3000box;라비니족의 가디언 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;18002.000000;1810.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD3000box1;0.000000;0.000000;0.000000;1.000000;0.000000
TF1500box;라비니족의 어쌔신 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4632.000000;470.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF1500box1;0.000000;0.000000;0.000000;1.000000;0.000000
TF2000box;라비니족의 어쌔신 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5418.000000;550.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2000box1;0.000000;0.000000;0.000000;1.000000;0.000000
TF2500box;라비니족의 어쌔신 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;11673.000000;1170.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF2500box1;0.000000;0.000000;0.000000;1.000000;0.000000
TF3000box;라비니족의 어쌔신 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;18002.000000;1810.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;TF3000box1;0.000000;0.000000;0.000000;1.000000;0.000000
