t_setid;t_setname;t_item1;t_item2;t_item3;t_item4;t_item5;t_item6;t_item7;t_item8;t_item9;t_item10;t_item11;t_item12;t_item13;t_item14;seteffect1_count;t_seteffect1_effect1;t_seteffect1_effect2;t_seteffect1_effect3;t_seteffect1_effect4;t_seteffect1_skill;seteffect2_count;t_seteffect2_effect1;t_seteffect2_effect2;t_seteffect2_effect3;t_seteffect2_effect4;t_seteffect2_skill;seteffect3_count;t_seteffect3_effect1;t_seteffect3_effect2;t_seteffect3_effect3;t_seteffect3_effect4;t_seteffect3_skill;seteffect4_count;t_seteffect4_effect1;t_seteffect4_effect2;t_seteffect4_effect3;t_seteffect4_effect4;t_seteffect4_skill;seteffect5_count;t_seteffect5_effect1;t_seteffect5_effect2;t_seteffect5_effect3;t_seteffect5_effect4;t_seteffect5_skill;seteffect6_count;t_seteffect6_effect1;t_seteffect6_effect2;t_seteffect6_effect3;t_seteffect6_effect4;t_seteffect6_skill;seteffect7_count;t_seteffect7_effect1;t_seteffect7_effect2;t_seteffect7_effect3;t_seteffect7_effect4;t_seteffect7_skill;seteffect8_count;t_seteffect8_effect1;t_seteffect8_effect2;t_seteffect8_effect3;t_seteffect8_effect4;t_seteffect8_skill
Setwz311;불타는 유적의 원소 세트;AR4_002_2_92155;AR4_002_3_92155;AR4_002_4_92155;AR4_002_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(최대MP+,900);*;*;*;*;3.000000;(캐스팅속도%,-7);*;*;*;*;4.000000;*;*;*;*;setskillwz310;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setpr312;불타는 유적의 신념 세트;AR5_003_2_92155;AR5_003_3_92155;AR5_003_4_92155;AR5_003_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(MTL+,17);*;*;*;*;3.000000;(쿨타임%,-5);*;*;*;*;4.000000;*;*;*;*;setskillpr311;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setac313;불타는 유적의 냉정 세트;AR2_003_2_92155;AR2_003_3_92155;AR2_003_4_92155;AR2_003_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(최대HP+,94);*;*;*;*;3.000000;(쿨타임%,-4);*;*;*;*;4.000000;*;*;*;*;setskillac311;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setall314;흡혈귀 세트;AC0_0_2274;AC0_0_2275;*;*;*;*;*;*;*;*;*;*;*;*;2.000000;(무기물리공격력+,83);*;*;*;setskillall31;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setgd315;저주받은 가문의 수호 세트;AR0_024_2_92202;AR0_024_3_92202;AR0_024_4_92202;AR0_024_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(VTL+,28);*;*;*;*;3.000000;(최대MP+,1150);(무기물리방어력+,360);*;*;*;4.000000;*;*;*;*;setskillgd313;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwr316;저주받은 가문의 광폭 세트;AR1_004_2_92202;AR1_004_3_92202;AR1_004_4_92202;AR1_004_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(무기물리공격력+,111);*;*;*;*;3.000000;(STR+,33);(무기극대력+,166);*;*;*;4.000000;*;*;*;*;setskillwr314;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Settf317;저주받은 가문의 그림자 세트;AR3_024_2_92202;AR3_024_3_92202;AR3_024_4_92202;AR3_024_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(STR+,23);*;*;*;*;3.000000;(회피력+,6);(배후공격극대화확률+,4);*;*;*;4.000000;*;*;*;*;setskilltf315;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwz318;저주받은 가문의 원소 세트;AR4_024_2_92202;AR4_024_3_92202;AR4_024_4_92202;AR4_024_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(INT+,22);*;*;*;*;3.000000;(최대MP+,1150);(캐스팅속도%,-8);*;*;*;4.000000;*;*;*;*;setskillwz316;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setpr319;저주받은 가문의 신념 세트;AR5_002_2_92202;AR5_002_3_92202;AR5_002_4_92202;AR5_002_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(MTL+,22);*;*;*;*;3.000000;(마법방어력+,30);(쿨타임%,-7);*;*;*;4.000000;*;*;*;*;setskillpr317;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setac320;저주받은 가문의 냉정 세트;AR2_024_2_92202;AR2_024_3_92202;AR2_024_4_92202;AR2_024_5_92202;*;*;*;*;*;*;*;*;*;*;2.000000;(INT+,22);*;*;*;*;3.000000;(최대HP+,157);(쿨타임%,-6);*;*;*;4.000000;*;*;*;*;setskillac318;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setgd321;얼어붙은 마틀렌의 수호 세트;AR0_003_1_93251;AR0_003_2_93251;AR0_003_3_93251;AR0_003_4_93251;AR0_003_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(최대HP+,900);*;*;*;*;3.000000;(쿨타임%,-5);(무기물리방어력+,370);*;*;*;4.000000;(최대MP+,1400);*;*;*;*;5.000000;*;*;*;*;setskillgd318;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwr322;얼어붙은 마틀렌의 광폭 세트;AR1_003_1_93251;AR1_003_2_93251;AR1_003_3_93251;AR1_003_4_93251;AR1_003_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(무기물리공격력+,138);*;*;*;*;3.000000;(STR+,41);(무기물리방어력+,293);*;*;*;4.000000;(쿨타임%,-8);*;*;*;*;5.000000;*;*;*;*;setskillwr319;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Settf323;얼어붙은 마틀렌의 그림자 세트;AR3_005_1_93251;AR3_005_2_93251;AR3_005_3_93251;AR3_005_4_93251;AR3_005_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(STR+,28);*;*;*;*;3.000000;(이동속도%,7);(회피력+,7);*;*;*;4.000000;(배후공격극대화확률+,5);*;*;*;*;5.000000;*;*;*;*;setskilltf320;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwz324;얼어붙은 마틀렌의 원소 세트;AR4_004_1_93251;AR4_004_2_93251;AR4_004_3_93251;AR4_004_4_93251;AR4_004_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(INT+,27);*;*;*;*;3.000000;(마법극대력+,225);(최대MP+,1400);*;*;*;4.000000;(캐스팅속도%,-9);*;*;*;*;5.000000;*;*;*;*;setskillwz321;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setpr325;얼어붙은 마틀렌의 신념 세트;AR5_004_1_93251;AR5_004_2_93251;AR5_004_3_93251;AR5_004_4_93251;AR5_004_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(INT+,19);*;*;*;*;3.000000;(최대MP+,2025);(마법방어력+,50);*;*;*;4.000000;(캐스팅속도%,-9);*;*;*;*;5.000000;*;*;*;*;setskillpr322;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setac326;얼어붙은 마틀렌의 냉정 세트;AR2_005_1_93251;AR2_005_2_93251;AR2_005_3_93251;AR2_005_4_93251;AR2_005_5_93251;*;*;*;*;*;*;*;*;*;2.000000;(INT+,27);*;*;*;*;3.000000;(마법극대력+,225);(최대HP+,315);*;*;*;4.000000;(쿨타임%,-7);*;*;*;*;5.000000;*;*;*;*;setskillac323;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetgd2528;하급 사냥꾼 세트;pvpAR0_003_1_002528;pvpAR0_003_2_002528;pvpAR0_003_3_002528;pvpAR0_003_4_002528;pvpAR0_003_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(VTL+,19);(최대HP+,405);*;*;*;4.000000;(무기물리방어력+,352);(최대HP+,600);*;*;*;5.000000;(치명타피해감소+,342);(PK육체계저항율+,18);*;*;setskilltaming08;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwr2528;하급 사냥꾼 세트;pvpAR1_003_1_002528;pvpAR1_003_2_002528;pvpAR1_003_3_002528;pvpAR1_003_4_002528;pvpAR1_003_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(STR+,33);(최대HP+,280);*;*;*;4.000000;(무기물리공격력+,111);(최대HP+,412);*;*;*;5.000000;(치명타피해감소+,292);(PK육체계저항율+,18);*;*;setskilltaming03;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSettf2528;하급 사냥꾼 세트;pvpAR3_005_1_002528;pvpAR3_005_2_002528;pvpAR3_005_3_002528;pvpAR3_005_4_002528;pvpAR3_005_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(DEX+,22);(최대HP+,155);*;*;*;4.000000;(무기극대력+,166);(최대HP+,235);*;*;*;5.000000;(치명타피해감소+,220);(PK육체계저항율+,18);*;*;setskilltaming09;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwz2528;하급 사냥꾼 세트;pvpAR4_004_1_002528;pvpAR4_004_2_002528;pvpAR4_004_3_002528;pvpAR4_004_4_002528;pvpAR4_004_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(INT+,22);(최대HP+,150);*;*;*;4.000000;(캐스팅속도%,-7);(최대HP+,225);*;*;*;5.000000;(치명타피해감소+,193);(PK육체계저항율+,18);*;*;setskilltaming11;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetpr2528;하급 사냥꾼 세트;pvpAR5_004_1_002528;pvpAR5_004_2_002528;pvpAR5_004_3_002528;pvpAR5_004_4_002528;pvpAR5_004_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(MTL+,22);(최대HP+,155);*;*;*;4.000000;(마법물리공격력+,100);(최대HP+,225);*;*;*;5.000000;(치명타피해감소+,194);(PK육체계저항율+,18);*;*;setskilltaming10;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetac2529;하급 사냥꾼 세트;pvpAR2_005_1_002528;pvpAR2_005_2_002528;pvpAR2_005_3_002528;pvpAR2_005_4_002528;pvpAR2_005_5_002528;*;*;*;*;*;*;*;*;*;3.000000;(INT+,22);(최대HP+,217);*;*;*;4.000000;(쿨타임%,-8);(최대HP+,323);*;*;*;5.000000;(치명타피해감소+,193);(PK육체계저항율+,18);*;*;setskilltamingac;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetgd3033;중급 사냥꾼 세트;pvpAR0_003_1_003033;pvpAR0_003_2_003033;pvpAR0_003_3_003033;pvpAR0_003_4_003033;pvpAR0_003_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(VTL+,23);(최대HP+,480);*;*;*;4.000000;(무기물리방어력+,424);(최대HP+,693);*;*;*;5.000000;(치명타피해감소+,414);(PK육체계저항율+,22);*;*;setskilltaming04;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwr3033;중급 사냥꾼 세트;pvpAR1_003_1_003033;pvpAR1_003_2_003033;pvpAR1_003_3_003033;pvpAR1_003_4_003033;pvpAR1_003_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(STR+,41);(최대HP+,330);*;*;*;4.000000;(무기물리공격력+,138);(최대HP+,474);*;*;*;5.000000;(치명타피해감소+,350);(PK육체계저항율+,22);*;*;setskilltaming02;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSettf3033;중급 사냥꾼 세트;pvpAR3_005_1_003033;pvpAR3_005_2_003033;pvpAR3_005_3_003033;pvpAR3_005_4_003033;pvpAR3_005_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(DEX+,27);(최대HP+,180);*;*;*;4.000000;(무기극대력+,207);(최대HP+,265);*;*;*;5.000000;(치명타피해감소+,264);(PK육체계저항율+,22);*;*;setskilltaming05;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwz3033;중급 사냥꾼 세트;pvpAR4_004_1_003033;pvpAR4_004_2_003033;pvpAR4_004_3_003033;pvpAR4_004_4_003033;pvpAR4_004_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(INT+,27);(최대HP+,175);*;*;*;4.000000;(캐스팅속도%,-8);(최대HP+,255);*;*;*;5.000000;(치명타피해감소+,229);(PK육체계저항율+,22);*;*;setskilltaming07;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetpr3033;중급 사냥꾼 세트;pvpAR5_004_1_003033;pvpAR5_004_2_003033;pvpAR5_004_3_003033;pvpAR5_004_4_003033;pvpAR5_004_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(MTL+,27);(최대HP+,180);*;*;*;4.000000;(마법물리공격력+,124);(최대HP+,255);*;*;*;5.000000;(치명타피해감소+,228);(PK육체계저항율+,22);*;*;setskilltaming06;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetac3033;중급 사냥꾼 세트;pvpar2_005_1_003033;pvpar2_005_2_003033;pvpar2_005_3_003033;pvpar2_005_4_003033;pvpar2_005_5_003033;*;*;*;*;*;*;*;*;*;3.000000;(INT+,27);(최대HP+,255);*;*;*;4.000000;(쿨타임%,-9);(최대HP+,369);*;*;*;5.000000;(치명타피해감소+,229);(PK육체계저항율+,22);*;*;setskilltamingac01;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetgd3538;상급 사냥꾼 세트;pvpAR0_003_1_003538;pvpAR0_003_2_003538;pvpAR0_003_3_003538;pvpAR0_003_4_003538;pvpAR0_003_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(VTL+,27);(최대HP+,555);*;*;*;3.000000;(무기물리방어력+,496);(최대HP+,787);*;*;*;4.000000;(무기물리공격력+,132);(쿨타임%,-5);*;*;*;5.000000;(치명타피해감소+,576);(PK육체계저항율+,26);*;*;setskillpkraid01;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwr3538;상급 사냥꾼 세트;pvpAR1_003_1_003538;pvpAR1_003_2_003538;pvpAR1_003_3_003538;pvpAR1_003_4_003538;pvpAR1_003_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(STR+,48);(최대HP+,380);*;*;*;3.000000;(무기물리공격력+,165);(최대HP+,537);*;*;*;4.000000;(무기극대력+,198);(이동속도%,6);*;*;*;5.000000;(치명타피해감소+,496);(PK육체계저항율+,26);*;*;setskillpkraid02;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSettf3538;상급 사냥꾼 세트;pvpAR3_005_1_003538;pvpAR3_005_2_003538;pvpAR3_005_3_003538;pvpAR3_005_4_003538;pvpAR3_005_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(DEX+,32);(최대HP+,205);*;*;*;3.000000;(무기극대력+,247);(최대HP+,296);*;*;*;4.000000;(배후공격극대화확률+,5);(회피력+,7);*;*;*;5.000000;(치명타피해감소+,371);(PK육체계저항율+,26);*;*;setskillpkraid03;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwz3538;상급 사냥꾼 세트;pvpAR4_004_1_003538;pvpAR4_004_2_003538;pvpAR4_004_3_003538;pvpAR4_004_4_003538;pvpAR4_004_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(INT+,32);(최대HP+,200);*;*;*;3.000000;(캐스팅속도%,-9);(최대HP+,286);*;*;*;4.000000;(마법극대력+,225);(마법물리공격력+,180);*;*;*;5.000000;(치명타피해감소+,322);(PK육체계저항율+,26);*;*;setskillpkraid04;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetpr3538;상급 사냥꾼 세트;pvpAR5_004_1_003538;pvpAR5_004_2_003538;pvpAR5_004_3_003538;pvpAR5_004_4_003538;pvpAR5_004_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(MTL+,32);(최대HP+,205);*;*;*;3.000000;(마법물리공격력+,148);(최대HP+,286);*;*;*;4.000000;(마법방어력+,50);(캐스팅속도%,-9);*;*;*;5.000000;(치명타피해감소+,325);(PK육체계저항율+,26);*;*;setskillpkraid05;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetac3538;상급 사냥꾼 세트;pvpar2_005_1_003538;pvpar2_005_2_003538;pvpar2_005_3_003538;pvpar2_005_4_003538;pvpar2_005_5_003538;*;*;*;*;*;*;*;*;*;2.000000;(INT+,32);(최대HP+,292);*;*;*;3.000000;(쿨타임%,-10);(최대HP+,416);*;*;*;4.000000;(마법극대력+,225);(마법물리공격력+,180);*;*;*;5.000000;(치명타피해감소+,322);(PK육체계저항율+,26);*;*;setskillpkraidac;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetgd4043;최상급 사냥꾼 세트;pvpAR0_003_1_004043;pvpAR0_003_2_004043;pvpAR0_003_3_004043;pvpAR0_003_4_004043;pvpAR0_003_5_004043;*;*;*;*;*;*;*;*;*;3.000000;(VTL+,32);(최대HP+,555);*;*;*;4.000000;(무기물리방어력+,568);(최대HP+,787);*;*;*;5.000000;(PK육체계저항율+,36);*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwr4043;최상급 사냥꾼 세트;pvpAR1_003_1_004043;pvpAR1_003_2_004043;pvpAR1_003_3_004043;pvpAR1_003_4_004043;pvpAR1_003_5_004043;*;*;*;*;*;*;*;*;*;3.000000;(STR+,56);(최대HP+,380);*;*;*;4.000000;(무기물리공격력+,192);(최대HP+,537);*;*;*;5.000000;(PK육체계저항율+,36);*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSettf4043;최상급 사냥꾼 세트;pvpAR3_005_1_004043;pvpAR3_005_2_004043;pvpAR3_005_3_004043;pvpAR3_005_4_004043;pvpAR3_005_5_004043;*;*;*;*;*;*;*;*;*;3.000000;(DEX+,37);(최대HP+,205);*;*;*;4.000000;(무기극대력+,287);(최대HP+,296);*;*;*;5.000000;(PK육체계저항율+,36);*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetwz4043;최상급 사냥꾼 세트;pvpAR4_004_1_004043;pvpAR4_004_2_004043;pvpAR4_004_3_004043;pvpAR4_004_4_004043;pvpAR4_004_5_004043;*;*;*;*;*;*;*;*;*;3.000000;(INT+,37);(최대HP+,200);*;*;*;4.000000;(캐스팅속도%,-10);(최대HP+,286);*;*;*;5.000000;(PK육체계저항율+,36);*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
pvpSetpr4043;최상급 사냥꾼 세트;pvpAR5_004_1_004043;pvpAR5_004_2_004043;pvpAR5_004_3_004043;pvpAR5_004_4_004043;pvpAR5_004_5_004043;*;*;*;*;*;*;*;*;*;3.000000;(MTL+,37);(최대HP+,205);*;*;*;4.000000;(마법물리공격력+,172);(최대HP+,286);*;*;*;5.000000;(PK육체계저항율+,36);*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
