t_id;t_이름;t_재료타입;등급;요구레벨;아이템레벨;매입가;처분가;생성개수;중첩갯수;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;t_판매대행분류;드랍시레벨검사무시;t_화폐설정id;구매제한;contentslevel;통합채널사용불가;plusrate
MA_2_0001;은광석;jl;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_2_1001;은가루;jl;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_2_0002;금광석;jl;1.000000;6.000000;6.000000;4000.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_2_2001;금가루;jl;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_2_0003;자수정 원석;jl;1.000000;26.000000;26.000000;8000.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_2_3001;세공된 자수정;jl;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_2_0004;사파이어 원석;jl;1.000000;36.000000;36.000000;16000.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_2_0005;에메랄드 원석;jl;1.000000;41.000000;41.000000;32000.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_2_0006;다이아몬드 원석;jl;1.000000;50.000000;50.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_703;0.000000;*;0.000000;50.000000;0.000000;0.000000
MA_3_0001;포리온 버섯;hb;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_3_0002;세이지 풀;hb;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_3_0003;체르파 눈꽃;hb;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_3_0004;쿠르 뿌리;hb;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_3_0005;테리문 마법초;hb;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_3_0006;루샤인 꽃;hb;1.000000;50.000000;50.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_704;0.000000;*;0.000000;50.000000;0.000000;0.000000
MA_4_0001;거친 옷감;ch;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_4_1001;거친 천;ch;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_4_0002;얇은 옷감;ch;1.000000;6.000000;6.000000;2000.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_4_2001;얇은 천;ch;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_4_0003;두꺼운 옷감;ch;1.000000;26.000000;26.000000;4000.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_4_3001;두꺼운 천;ch;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_4_0004;부드러운 옷감;ch;1.000000;36.000000;36.000000;8000.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_4_0005;광택나는 옷감;ch;1.000000;41.000000;41.000000;16000.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_4_0006;빛나는 옷감;ch;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_705;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_5_0001;질긴 고기;mt;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_5_0002;평범한 고기;mt;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_5_0003;쫄깃한 고기;mt;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_5_0004;담백한 고기;mt;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_5_0005;연한 고기;mt;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_5_0006;부드러운 고기;mt;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_706;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_6_0001;미약한 정령의 기운;sl;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_6_1001;미약한 정령수;sl;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_6_0002;약한 정령의 기운;sl;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_6_2001;약한 정령수;sl;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_6_0003;평범한 정령의 기운;sl;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_6_3001;평범한 정령수;sl;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_6_0004;강한 정령의 기운;sl;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_6_0005;빛나는 정령의 기운;sl;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_6_0006;찬란한 정령의 기운;sl;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_707;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_1101;1단계 칼자루;st;1.000000;1.000000;1.000000;10.000000;10.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_1102;2단계 칼자루;st;1.000000;6.000000;6.000000;40.000000;40.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_1103;3단계 칼자루;st;1.000000;26.000000;26.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_1104;4단계 칼자루;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_1105;5단계 칼자루;st;1.000000;41.000000;41.000000;2440.000000;2440.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_1106;6단계 칼자루;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_1201;하급 숫돌;st;2.000000;6.000000;6.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_1202;중급 숫돌;st;3.000000;26.000000;26.000000;860.000000;860.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_1203;상급 숫돌;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_2101;1단계 목재;st;1.000000;1.000000;1.000000;10.000000;10.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_2102;2단계 목재;st;1.000000;6.000000;6.000000;40.000000;40.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_2103;3단계 목재;st;1.000000;26.000000;26.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_2104;4단계 목재;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_2105;5단계 목재;st;1.000000;41.000000;41.000000;2440.000000;2440.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_2106;6단계 목재;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_2201;하급 무게추;st;2.000000;6.000000;6.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_2202;중급 무게추;st;3.000000;26.000000;26.000000;860.000000;860.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_2203;상급 무게추;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_3101;1단계 거푸집;st;1.000000;1.000000;1.000000;10.000000;10.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_3102;2단계 거푸집;st;1.000000;6.000000;6.000000;40.000000;40.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_3103;3단계 거푸집;st;1.000000;26.000000;26.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_3104;4단계 거푸집;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_3105;5단계 거푸집;st;1.000000;41.000000;41.000000;2440.000000;2440.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_3106;6단계 거푸집;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_3201;하급 용접봉;st;2.000000;6.000000;6.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_3202;중급 용접봉;st;3.000000;26.000000;26.000000;860.000000;860.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_3203;상급 용접봉;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_4101;1단계 재봉 키트;st;1.000000;1.000000;1.000000;10.000000;10.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_4102;2단계 재봉 키트;st;1.000000;6.000000;6.000000;40.000000;40.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_4103;3단계 재봉 키트;st;1.000000;26.000000;26.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_4104;4단계 재봉 키트;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_4105;5단계 재봉 키트;st;1.000000;41.000000;41.000000;2440.000000;2440.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_4106;6단계 재봉 키트;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_4201;하급 염료;st;2.000000;6.000000;6.000000;310.000000;310.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_4202;중급 염료;st;3.000000;26.000000;26.000000;860.000000;860.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_4203;상급 염료;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_5101;1단계 마력의 정수;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_5102;2단계 마력의 정수;st;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_5103;3단계 마력의 정수;st;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_5104;4단계 마력의 정수;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_5105;5단계 마력의 정수;st;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_5106;6단계 마력의 정수;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_5201;하급 유리병;st;2.000000;6.000000;6.000000;310.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_5202;중급 유리병;st;3.000000;26.000000;26.000000;860.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_5203;상급 유리병;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_6111;1단계 매운 소스;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_6112;2단계 매운 소스;st;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_6113;3단계 매운 소스;st;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_6114;4단계 매운 소스;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_6115;5단계 매운 소스;st;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_6116;6단계 매운 소스;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_6121;1단계 달콤한 소스;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_6122;2단계 달콤한 소스;st;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_6123;3단계 달콤한 소스;st;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_6124;4단계 달콤한 소스;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_6125;5단계 달콤한 소스;st;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_6126;6단계 달콤한 소스;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_6131;1단계 담백한 소스;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_6132;2단계 담백한 소스;st;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_6133;3단계 담백한 소스;st;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_6134;4단계 담백한 소스;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_6135;5단계 담백한 소스;st;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_6136;6단계 담백한 소스;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_6201;하급 보관 용기;st;2.000000;6.000000;6.000000;310.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_6202;중급 보관 용기;st;3.000000;26.000000;26.000000;860.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_6203;상급 보관 용기;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_7101;1단계 세공 상자;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_7_7102;2단계 세공 상자;st;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_7103;3단계 세공 상자;st;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_7104;4단계 세공 상자;st;1.000000;36.000000;36.000000;860.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_7_7105;5단계 세공 상자;st;1.000000;41.000000;41.000000;2440.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_7_7106;6단계 세공 상자;st;1.000000;51.000000;51.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_7201;하급 조각칼;st;2.000000;6.000000;6.000000;310.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_7_7202;중급 조각칼;st;3.000000;26.000000;26.000000;860.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_7_7203;상급 조각칼;st;4.000000;51.000000;51.000000;2440.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;51.000000;0.000000;0.000000
MA_7_8101;1단계 촉매제;st;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;*;0.000000;*;0.000000;1.000000;0.000000;0.000000
