no;t_id;t_이름;t_비고;t_프로필사진;t_model;model1;bulletspd;tranceforce;shaketime;shakex;shakey;shakez;t_iconb;t_icons;t_등장fx;t_탑승fx;t_하차fx;t_selffx;t_selffx1;t_selffx2;t_hitfx;t_dmgfx;t_cdmgfx;t_활강날개fx;2nd_pick_range;t_안장코드;t_기본 장착 안장;t_bridlefx;t_mststyle;t_psnstyle;모델타입;일반애니스피드_리액션제외;이동애니스피드;공격애니스피드;buffsize;marksize;heightoffset;defaultheight;t_로비위치;비행idle사용여부;로비애니속도;t_활강사운드;waterdummy;fx발생레벨조건1;t_조건fx1;fx발생레벨조건2;t_조건fx2;fx발생레벨조건3;t_조건fx3;사이즈변경레벨1;사이즈변경1;사이즈변경레벨2;사이즈변경2;사이즈변경레벨3;사이즈변경3;invisible;충돌실린더반지름;충돌실린더높이;cyloffset;nocombatbind
9010.000000;F_F10_Rayol_04;환영의 조각 레이올;마그마포라 필드 펫;lobo_Pet.png;diamondwolfAAA.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;lobo_Pet;lobo_Pet;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_McWolf_01;com_fellow_F00.FeSelf_00_D_CS_04;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.200000;0.000000;0.000000;P4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9011.000000;F_F10_Rayol_05;환영의 조각 레이올;마그마포라 필드 펠로우;lobo.png;diamondwolfAAA.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;lobo;lobo;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_McWolf_01;com_fellow_F00.FeSelf_00_D_CS_04;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.100000;0.000000;0.000000;P1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9012.000000;F_F10_Rayol_06 ;환영의 조각 레이올;마그마포라 필드 펫;lobo_Pet.png;diamondwolfAAA.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;lobo_Pet;lobo_Pet;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_McWolf_01;com_fellow_F00.FeSelf_00_D_CS_04;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.200000;0.000000;0.000000;P4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9013.000000;F_E00_cavalo_0001;논 포쎄 아포칼립스;;cavalo.png;cavalo.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000127;Icon_500000127;CM_COM_01.BoardDown_Co_R_No_02;*;*;Shura_SKL.EvilRide_00_CO_D_NO_03;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.900000;0.000000;0.000000;p2;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.900000;1.500000;0.000000;0.000000
9014.000000;F_E00_cavalo_0002;논 포쎄 아포칼립스;;cavalo_Pet.png;cavalo.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000127_P;Icon_500000127_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;Shura_SKL.EvilRide_00_CO_D_NO_03;*;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.600000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.900000;1.500000;0.000000;0.000000
9015.000000;F_EM_Pega_001;Empire of Chaos;PVP 지역 사용;NAGalaxyPegasus.png;NAGalaxyPegasus.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000660;Icon_500000660;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_c00.FeSelf_00_crowhorse_00;com_fellow_p02.FeSelf_00_p2_le_00;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.900000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9016.000000;F_EM_Pega_002;Empire of Chaos;PVP 지역 사용;NAGalaxyPegasus.png;NAGalaxyPegasus.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000660;Icon_500000660;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_c00.FeSelf_00_crowhorse_00;com_fellow_p02.FeSelf_00_p2_le_00;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.400000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9017.000000;F_EM_Pega2_001;Empire of Light;PVP 지역 사용;NAGalaxyPegasus.png;LAGalaxyPegasus.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000660;Icon_500000660;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_c00.FeSelf_00_crowhorse_00;com_fellow_p02.FeSelf_00_p2_le_00;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.400000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9018.000000;F_EM_Pega2_002;Empire of Light;PVP 지역 사용;NAGalaxyPegasus.png;LAGalaxyPegasus.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000660;Icon_500000660;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_c00.FeSelf_00_crowhorse_00;com_fellow_p02.FeSelf_00_p2_le_00;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.400000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9019.000000;E_F10_FlyBny01_0001;피닉스 페니발드;23년 11월 펠로우;lobo.png;FoxEloraCDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;gicon_10000087;gicon_10000087;CM_COM_01.BoardDown_Co_R_No_02;*;*;Simcy.FeSelf_phoenix_01;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;P1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9020.000000;F_EV_firehaetae_002;화염의 용사자;23년 8월 펠로우;HaetaeDC.png;HaetaeDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;GIcon_10000105;GIcon_10000105_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;Cho_Fe.FeSelf_Flamehaetae_01;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;P4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9021.000000;F_EV_smoghaetae_002;연기의 용사자;23년 8월 펠로우;HaetaeADC.png;HaetaeADC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;GIcon_10000104;GIcon_10000104_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;Cho_Fe.FeSelf_smokehaetae_01;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;P4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9022.000000;F_C00_empiremk2_0001;Empire MK4;캐쉬 길들이기 펠로우;empiremk2.png;empiremk2.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;jp_icon_100000093;jp_icon_100000093;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_C_LeMC_00;*;*;DragCaras_Hit_01;DragCaras_DMG_01.DMG_DC_CM_NO_00;DragCaras_DMG_01.DMG_DC_CM_NO_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;p3;1.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9023.000000;F_C00_empiremk2_0002;Empire MK4;캐쉬 길들이기 펠로우;empiremk2_pet.png;empiremk2.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;jp_icon_100000093_p;jp_icon_100000093_p;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_C_LeMC_00;*;*;DragCaras_Hit_01;DragCaras_DMG_01.DMG_DC_CM_NO_00;DragCaras_DMG_01.DMG_DC_CM_NO_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.300000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9024.000000;F_C00_empirebl_0002;Empire Blauzer;데비 전용 펠로우(몬스터 스쿼드);empireblauzer.png;empireblauzer.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;icon_500000612;icon_500000612;CM_COM_01.BoardDown_Co_R_No_02;*;*;nafellow_NA.feself_00_00_A_DC_01;*;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.400000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9025.000000;F_f00_empire_007 ;Baltrow Empire;;ManticoreADC_Pet.png;ManticoreADC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_520000063_P;Icon_520000063_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_F01.FeSelf_00_D_Le_00;*;*;Asteras_Hit_01;DragCaras_DMG_01.DMG_DC_CM_NO_00;DragCaras_DMG_01.CDMG_Dc_CM_NO_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.500000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;-0.300000;0.000000
9026.000000;F_EV_fairyIM_001;지옥룡 마그니아고;2024년 7월 펠로우;FairyDragonDDC.png;FairyDragonDDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;empiredragon2;empiredragon2;CM_COM_01.BoardDown_Co_R_No_02;*;*;Simcy.feself_helldragon_01;*;*;FeGriffon_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;P1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9027.000000;F_EV_fairyIM_002;지옥룡 마그니아고;2024년 7월 펠로우;FairyDragonDDC_Pet.png;FairyDragonDDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;GIcon_10000137_P;GIcon_10000137_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;Simcy.feself_helldragon_01;*;*;FeGriffon_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;P4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
1.000000;F_02_1_0007_0002;사나운 회색 늑대;;WolfWild1DC.png;WolfWild1DC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000003;Icon_500000003;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
2.000000;F_02_0_0309_0002;우두머리 회색늑대;;WolfWild2DC.png;WolfWild2DC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000001;Icon_500000001;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.100000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
3.000000;F_02_1_0007_0003;유적지 회색 늑대;;WolfWildDC.png;WolfWildDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000002;Icon_500000002;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.100000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
4.000000;F_02_0_0309_0000;식인 늑대 프릿샤;;WolfRashaDC.png;WolfRashaDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000004;Icon_500000004;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.600000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_speeding_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
5.000000;F_00_0_0245_0000;페가수스;사란트 성 부여(유저 탑승) ;PegasusADC.png;PegasusADC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;Icon_500000153;Icon_500000153;*;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.700000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
