t_id;t_이름;개발용;요구레벨;제한레벨;아이템레벨;t_사용클래스;t_랜덤적용클래스;t_사용가능성별;등급;t_장신구타입;내구도;매입가;처분가;물리_최소공격력;물리_최대공격력;마법_방어력;t_장착효과1;t_장착효과2;t_장착효과3;t_장착효과4;랜덤옵션적용여부;랜덤옵션개수_최소;랜덤옵션개수_최대;t_옵션적용비율;t_가변 항목;가변 항목 최소;가변 항목 최대;강화제한;t_강화확률;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;t_사용제한;염색여부;t_판매대행분류;t_스킬효과;드랍시레벨검사무시;사용기간;t_gradeupcodekey;t_gradeupresult;t_분해아이디;t_추출아이디;봉인석중복장착여부;봉인된펠로우장착슬롯수;봉인된펠로우장착슬롯수_최소;봉인된펠로우장착슬롯수_최대;useleveloption;levelweight;overrisemax;t_overriseid;t_overriseid2;t_overriseid3;contentslevel;통합채널사용불가;리버스강화제한;lvup;itemexp;t_overrisematid1;t_overrisematid2;t_화폐설정id
AC0_0_21013;숲의 재빠른 적수정 반지;0.000000;7.000000;0.000000;14.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;284.000000;29.000000;0.000000;0.000000;16.000000;(최대HP+,120);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0013;AC0_EV_4_0_0011;Elite_0005_ri;ac_2_7;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;7.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21501;습격자의 반지;0.000000;13.000000;0.000000;19.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;5400.000000;540.000000;0.000000;0.000000;21.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0014;AC0_EV_4_0_0012;Elite_0010_ri;ac_2_13;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;13.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21511;파견단의 강인한 반지;0.000000;11.000000;0.000000;18.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;1181.000000;119.000000;0.000000;0.000000;20.000000;(최대HP+,150);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0015;AC0_EV_4_0_0013;Elite_0010_ri;ac_2_11;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;11.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21512;파견단의 지혜로운 반지;0.000000;11.000000;0.000000;18.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;1181.000000;119.000000;0.000000;0.000000;20.000000;(최대HP+,150);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0016;AC0_EV_4_0_0014;Elite_0010_ri;ac_2_11;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;11.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21513;파견단의 재빠른 반지;0.000000;11.000000;0.000000;18.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;1181.000000;119.000000;0.000000;0.000000;20.000000;(최대HP+,150);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0017;AC0_EV_4_0_0015;Elite_0010_ri;ac_2_11;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;11.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_31501;고대 화염 골렘의 반지;0.000000;16.000000;0.000000;30.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;7530.000000;753.000000;0.000000;0.000000;31.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0018;AC0_EV_4_0_0016;Hero_0015_ri;ac_3_16;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;16.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_22001;흡혈귀의 반지;0.000000;18.000000;0.000000;26.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;8358.000000;836.000000;0.000000;0.000000;27.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0019;AC0_EV_4_0_0017;Elite_0015_ri;ac_2_18;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;18.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_22011;민병대의 강인한 반지;0.000000;18.000000;0.000000;25.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;2875.000000;288.000000;0.000000;0.000000;26.000000;(최대HP+,203);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0020;AC0_EV_4_0_0018;Elite_0015_ri;ac_2_18;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;18.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_22012;민병대의 지혜로운 반지;0.000000;18.000000;0.000000;25.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;2875.000000;288.000000;0.000000;0.000000;26.000000;(최대HP+,203);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0021;AC0_EV_4_0_0019;Elite_0015_ri;ac_2_18;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;18.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_22013;민병대의 재빠른 반지;0.000000;18.000000;0.000000;25.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;2875.000000;288.000000;0.000000;0.000000;26.000000;(최대HP+,203);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0022;AC0_EV_4_0_0020;Elite_0015_ri;ac_2_18;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;18.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_32001;저주받은 반지;0.000000;20.000000;0.000000;34.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;11430.000000;1143.000000;0.000000;0.000000;34.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0023;AC0_EV_4_0_0021;Hero_0020_ri;ac_3_20;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;20.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_22501;창공의 반지;0.000000;23.000000;0.000000;31.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;14083.000000;1409.000000;0.000000;0.000000;31.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0024;AC0_EV_4_0_0022;Elite_0020_ri;ac_2_23;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;23.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_22521;타락한 추종자의 반지;0.000000;28.000000;0.000000;42.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;12688.000000;1269.000000;0.000000;0.000000;41.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0025;AC0_EV_4_0_0023;Hero_0025_ri;ac_3_28;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;28.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_32501;혹한의 반지;0.000000;25.000000;0.000000;39.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;26341.000000;2635.000000;0.000000;0.000000;39.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0026;AC0_EV_4_0_0024;Hero_0025_ri;ac_3_25;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;25.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_23001;설원의 반지;0.000000;25.000000;0.000000;33.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;23730.000000;2373.000000;0.000000;0.000000;33.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0027;AC0_EV_4_0_0025;Elite_0025_ri;ac_2_25;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;25.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_33001;야타이만의 반지;0.000000;25.000000;0.000000;39.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;32454.000000;3246.000000;0.000000;0.000000;39.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;1.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0028;AC0_EV_4_0_0026;Hero_0025_ri;ac_3_25;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;25.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_23501;서리군단의 반지;0.000000;33.000000;0.000000;43.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;39987.000000;3999.000000;0.000000;0.000000;44.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0029;AC0_EV_4_0_0027;Elite_0030_ri;ac_2_33;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;33.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_33501;얼음 군단장의 반지;0.000000;35.000000;0.000000;51.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;54687.000000;5469.000000;0.000000;0.000000;102.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0030;AC0_EV_4_0_0028;Hero_0035_ri;ac_3_35;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;35.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_0_24001;총사령관의 반지;0.000000;39.000000;0.000000;62.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ri;30.000000;49268.000000;4927.000000;0.000000;0.000000;126.000000;(최대HP+,480);*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;5.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0031;AC0_EV_4_0_0029;Hero_0035_ri;ac_3_39;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;39.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_1_21001;고대 브라기 목걸이;0.000000;7.000000;0.000000;11.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;1.000000;ne;30.000000;144.000000;15.000000;0.000000;0.000000;27.000000;(최대HP+,98);*;*;*;0.000000;0.000000;0.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0032;AC0_EV_4_0_0030;*;ac_1_7;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;7.000000;0.000000;0.000000;30.000000;100.000000;*;*;*
AC0_1_22001;흡혈귀의 목걸이;0.000000;18.000000;0.000000;26.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ne;30.000000;11840.000000;1184.000000;0.000000;0.000000;54.000000;*;*;*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0033;AC0_EV_4_0_0031;Elite_0015_ne;ac_2_18;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;18.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_1_22011;민병대의 강인한 목걸이;0.000000;16.000000;0.000000;23.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ne;30.000000;2913.000000;292.000000;0.000000;0.000000;49.000000;(최대HP+,188);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0034;AC0_EV_4_0_0032;Elite_0015_ne;ac_2_16;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;16.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_1_22012;민병대의 지혜로운 목걸이;0.000000;16.000000;0.000000;23.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ne;30.000000;2913.000000;292.000000;0.000000;0.000000;49.000000;(최대HP+,188);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0035;AC0_EV_4_0_0033;Elite_0015_ne;ac_2_16;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;16.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_1_22013;민병대의 재빠른 목걸이;0.000000;16.000000;0.000000;23.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ne;30.000000;2913.000000;292.000000;0.000000;0.000000;49.000000;(최대HP+,188);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0036;AC0_EV_4_0_0034;Elite_0015_ne;ac_2_16;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;16.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_1_32001;저주받은 목걸이;0.000000;20.000000;0.000000;34.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ne;30.000000;16193.000000;1620.000000;0.000000;0.000000;69.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0037;AC0_EV_4_0_0035;Hero_0020_ne;ac_3_20;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;20.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_1_22501;야타이만의 목걸이;0.000000;25.000000;0.000000;39.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ne;30.000000;19951.000000;1996.000000;0.000000;0.000000;78.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;1.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0038;AC0_EV_4_0_0036;Hero_0025_ne;ac_3_25;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;25.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_1_22521;고대 화염 골렘의 목걸이;0.000000;15.000000;0.000000;29.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ne;30.000000;10667.000000;1067.000000;0.000000;0.000000;60.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0039;AC0_EV_4_0_0037;Hero_0015_ne;ac_3_15;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;15.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
AC0_1_32501;혹한의 목걸이;0.000000;25.000000;0.000000;39.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;3.000000;ne;30.000000;37316.000000;3732.000000;0.000000;0.000000;78.000000;*;*;*;*;1.000000;3.000000;3.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;3.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0040;AC0_EV_4_0_0038;Hero_0025_ne;ac_3_25;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;25.000000;0.000000;0.000000;30.000000;1680.000000;*;*;*
