t_id;t_이름;개발용;t_소모타입;t_사용클래스;t_사용가능성별;토글공유;등급;gradeplus;요구레벨;제한레벨;아이템레벨;t_사용효과;최소랜덤강화단계;최대랜덤강화단계;t_랜덤강화확률;t_강화패널티방지조건;강화고정확률;강화추가확률;최소강화가능단계;최대강화가능단계;t_강화대상;추출가능 여부;길들이기보정치;사용가능몬스터레벨;t_속성타입;t_크리쳐등급;t_색깔;내구도;재사용시간공유;재사용시간;동종재사용시간비공유;매입가;처분가;중첩갯수;생성개수;t_시나리오;t_영역타입;t_사용영역;t_마석스킬;마석스킬레벨;t_마석장착효과1;t_마석장착효과2;t_마석장착효과3;t_마석장착효과4;t_마석장착효과5;t_스킬효과;드랍불가;거래불능;처분불능;파괴불능;truekeeping;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;소모제한;t_사용제한;t_판매대행분류;t_생성아이템;t_워프맵;t_워프좌표;t_결합결과물;소멸시간;t_씨앗종류;필요농장레벨;t_작물오브젝트;t_생성펠로우;사용기간;캐쉬;펠로우경험치;t_몬스터소환;소환시간;드랍시레벨검사무시;t_펠로우기준등급;t_gd_grade;raide_check;contentslevel;engrave;characterlv;구매제한;통합채널사용불가;t_강화가능등급;강화시도최소레벨;강화시도최대레벨;t_분해아이디;t_pvp채널사용여부;t_사용불가영역;t_화폐설정id
CO_0_0003;35레벨 생명 물약;0.000000;gn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;35.000000;0.000000;35.000000;hp_1000_1000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;101.000000;30.000000;0.000000;3616.000000;362.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionhprecovery.4;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_500;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;35.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0004;45레벨 생명 물약;0.000000;gn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;45.000000;0.000000;45.000000;hp_1250_1250;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;101.000000;30.000000;0.000000;5425.000000;543.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionhprecovery.5;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_500;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;45.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0020;5레벨 마나 물약;0.000000;gn;GD_PR_WZ_DO;*;0.000000;1.000000;0.000000;5.000000;0.000000;5.000000;mp_320_320;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;103.000000;30.000000;0.000000;60.000000;6.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionmprecovery.1;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_501;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0021;15레벨 마나 물약;0.000000;gn;GD_PR_WZ_DO;*;0.000000;1.000000;0.000000;15.000000;0.000000;15.000000;mp_720_720;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;103.000000;30.000000;0.000000;344.000000;34.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionmprecovery.2;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_501;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;15.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0022;25레벨 마나 물약;0.000000;gn;GD_PR_WZ_DO;*;0.000000;1.000000;0.000000;25.000000;0.000000;25.000000;mp_1120_1120;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;103.000000;30.000000;0.000000;1985.000000;199.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionmprecovery.3;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_501;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;25.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0023;35레벨 마나 물약;0.000000;gn;GD_PR_WZ_DO;*;0.000000;1.000000;0.000000;35.000000;0.000000;35.000000;mp_1520_1520;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;103.000000;30.000000;0.000000;3616.000000;362.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionmprecovery.4;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_501;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;35.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0024;45레벨 마나 물약;0.000000;gn;GD_PR_WZ_DO;*;0.000000;1.000000;0.000000;45.000000;0.000000;45.000000;mp_1920_1920;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;103.000000;30.000000;0.000000;5425.000000;543.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionmprecovery.5;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_501;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;45.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;map_d94;*
CO_0_0040;최하급 힘 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;5.000000;0.000000;5.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;258.000000;258.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionstrup.1;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_502;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0041;하급 힘 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;15.000000;0.000000;15.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;1473.000000;1473.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionstrup.2;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_502;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;15.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0042;중급 힘 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;25.000000;0.000000;25.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;8505.000000;8505.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionstrup.3;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_502;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;25.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0043;고급 힘 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;35.000000;0.000000;35.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;15498.000000;15498.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionstrup.4;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_502;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;35.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0044;최고급 힘 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;45.000000;0.000000;45.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;23250.000000;23250.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionstrup.5;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_502;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;45.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0060;최하급 민첩 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;5.000000;0.000000;5.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;258.000000;26.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potiondexup.1;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_503;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0061;하급 민첩 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;15.000000;0.000000;15.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;1473.000000;147.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potiondexup.2;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_503;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;15.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0062;중급 민첩 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;25.000000;0.000000;25.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;8505.000000;851.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potiondexup.3;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_503;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;25.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0063;고급 민첩 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;35.000000;0.000000;35.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;15498.000000;1550.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potiondexup.4;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_503;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;35.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0064;최고급 민첩 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;45.000000;0.000000;45.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;23250.000000;2325.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potiondexup.5;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_503;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;45.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0080;최하급 지능 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;5.000000;0.000000;5.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;258.000000;258.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionintup.1;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_504;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0081;하급 지능 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;15.000000;0.000000;15.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;1473.000000;1473.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionintup.2;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_504;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;15.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0082;중급 지능 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;25.000000;0.000000;25.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;8505.000000;8505.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionintup.3;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_504;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;25.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0083;고급 지능 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;35.000000;0.000000;35.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;15498.000000;15498.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionintup.4;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_504;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;35.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0084;최고급 지능 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;45.000000;0.000000;45.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;23250.000000;23250.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionintup.5;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_504;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;45.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
CO_0_0100;최하급 체력 증가 물약;0.000000;pn;WR_GD_AC_TF_PR_WZ_DO_MG;*;0.000000;1.000000;0.000000;5.000000;0.000000;5.000000;*;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;0.000000;no;*;*;0.000000;102.000000;1.000000;0.000000;258.000000;258.000000;999.000000;0.000000;*;*;*;*;0.000000;*;*;*;*;*;potionvtlup.1;0.000000;0.000000;0.000000;0.000000;1.000000;req;none;ch;0.000000;0.000000;*;Auction_505;*;*;*;*;0.000000;*;0.000000;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;*;0.000000;5.000000;0.000000;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;de;*;*
