t_key,t_koreanorg,t_jpn,t_chinese,t_korean
^dialog_1220004_text0^,^광산을 침략한 도적단 놈들 때문에 마을 전역이 어수선합니다. 가능한 출입을 삼가하시고, 아이들의 안위를 살펴주십시오.<br><br>베르칸 마을 경비대^,^^,^^,^Because of the bandits invaded the mine, the entire village is going out of control. Please, do not enter if possible. And, take care of children's safety.<br><br>Berkan Village Guards^
^dialog_1220005_Title^,^하마드<마을 주민>^,^^,^^,^Hamad!Villager!^
^dialog_1220005_text0^,^마을 입구가 모두 도적단들에게 둘려싸여 있어요. 마을로 어서 돌아가야 하는데…^,^^,^^,^All the entrances to the village are surrendered by the bandits. I need to go back as soon as possible…^
^dialog_1220006_Title^,^아사프<마을 주민>^,^^,^^,^Asaf!Villager!^
^dialog_1220006_text0^,^코… 콜록! 우리 베르칸 마을에는 무슨 일이오? <br>지금 마을 분위기가 심상치 않은 것 같으니 부디 몸조심하게나.^,^^,^^,^Cou… Cough! WHat bRings you to Berkan Village? <br>It seems tHat something is going on in the village. You'd better take care of yourself.^
^dialog_1220007_Title^,^샤이크<무기상인>^,^^,^^,^Shaikh!WeaponMerchant!^
^dialog_1220007_text0^,^보아하니 무기를 바꿀 때가 된 것 같은데~!<br>이리 와서 괜찮은 놈으로 하나 골라 잡아봐요. 제가 아주 싸게 드릴께요!^,^^,^^,^I think it's the time for you to change your weapon~!<br>Come over here and try one you like. I will offer you a very good price!^
^dialog_1220007_Answer_0_Text^,^무기 상점^,^^,^^,^Weapon Shop^
^dialog_1220008_Title^,^미올 맥시드<연금술사>^,^^,^^,^Miol Maxid!Alchemist!^
^dialog_1220008_text0^,^연금술의 매력은 끝이 없다네. 정확한 공식과 그에 맞는 재료만 있다면 세상에 있는 모든 것들을 만들어 낼 수 있지.<br>하지만 세상 모든 일들은 등가 교환의 이치에 따라 이루어지는 법. 자네는 어떤 것을 내어놓을 준비가 되어 있는가?^,^^,^^,^The charm of alchemy is endless. If you know the right formula and the right source materials, you will be able to make anything in this world.<br>But, everything in this world is on the basis of exchange of equivalent. WHat can you give away?^
^dialog_1220009_Title^,^임무 게시판<하스탄 마을>^,^^,^^,^Quest Board!Hastan Village!^
^dialog_1220009_text0^,^마을의 안전을 위협하는 적들과 물러서지 않고 맞서 싸워 공을 세우는 자에겐 정당한 대가를 지급하겠소.<br><br>촌장 주마^,^^,^^,^Whoever fights against the enemies threatening village's safety will be rewarded with fair compensation.<br><br>Village Chief Juma^
^dialog_1220010_Title^,^블레이나<마을 주민>^,^^,^^,^Blaina!Villager!^
^dialog_1220010_text0^,^젊은이… 이 늙은이의 억울한 사연을 좀 들어줄 수 있소...?^,^^,^^,^Hey… Do you want to know about the unjust situation I was in...?^
^dialog_1220011_Title^,^포체스<마을 주민>^,^^,^^,^Poches!Villager!^
^dialog_1220011_text0^,^대대로 물려주려 열심히 키워온 농장이 한순간에 무너져 버렸다네…^,^^,^^,^I had worked my best to pass the farm down to my descendants. And, I just lost it in the blink of an eye…^
^dialog_1220015_Title^,^경비대장 타우스(교역항)^,^^,^^,^Guard Captain Taus(Entrepot)^
^dialog_1220015_text0^,^저 괘씸한 해적놈들! 우리 경비대 병력이 부족한 탓이야!<br>이럴 때 도와주는 사람이 있다면 저놈들이 항구에 발도 못 들이게 내쫓아 버릴텐데 말이야!^,^^,^^,^Those disgraceful pirates!!! Our guards don't have enough people!!!! <br> We will be able to expell those guys and don't let them ever come back again if we have someone helping us!!^
^dialog_1220016_Title^,^경비대 테오스^,^^,^^,^Guards Theos^
^dialog_1220016_text0^,^해적 놈들을 이곳에서 몰아낼 때가 왔다!^,^^,^^,^It's time to expell the pirates from this land!^
^dialog_1220017_Title^,^터렌드<자툴란 경비대>^,^^,^^,^Tirand!Zatulan Guards!^
^dialog_1220017_text0^,^이곳을 도와주러 오셨습니까? 해적단들의 습격으로 지금 여기 교역항은 난장판입니다!^,^^,^^,^Are you here to help? It's chaotic here because of the attack of the pirates!^
^dialog_1220018_Title^,^라나<페르난도 상단 상인>^,^^,^^,^Rana!Fernando Merchant Guild Member!^
^dialog_1220018_text0^,^지금 교역항의 상황은 페르난도 님께 얼추 들으셨죠? <br>그놈의 해적단들 때문에 우리 상인들이 오도 가도 못하는 상황이 되어버렸다니까요!^,^^,^^,^You heard about wHat's going on in the Entrepot from Fernando, right? <br> We, merchants, are stuck here because of those bastards!!^
^dialog_1220019_Title^,^대상인 페르난도^,^^,^^,^Great Merchant Fernando^
^dialog_1220019_text0^,^여행자인가? 교역항은 위험한 상황이네.<br>해적단의 습격으로 항구에 발이 묶여 있어 상단의 손해도 막심하지.<br><br>항구를 지키는 병사도 부족한 상황이니 이거 참 큰일일세...^,^^,^^,^Are you a traveller? The Entrepot is in danger.<br>Even merchants are stuck here causing a lot of financial loss to their guilds.<br><br>We don't even have enough units to defend the port...This is serious...^
^dialog_1220020_Title^,^카룬 트리사<보부상>^,^^,^^,^Kharun Trissa!Peddler!^
^dialog_1220020_text0^,^지금 해적단이 교역항 일대를 장악해버려 우리 보부상들이 발이 묶여 나가지도 못하고 있어요. <br>이 막대한 손해를 대체 어떻게 한담…^,^^,^^,^The pirates took over the Entrepot. We, peddlers, are stuck here.<br>WHat should we do with this great financial loss...^
^dialog_1220021_Title^,^파르트<무기 연구가>^,^^,^^,^Parte<Weapon Researcher>^
^dialog_1220021_text0^,^나는 교역항의 무기를 연구하고 있었네. 그러나 지금 해적단의 습격을 받아 연구 중이던 수많은 무기가 파손되어 연구를 중단할 위기에 처했다네. <br>부디 무사히 해적단들을 소탕하여 연구를 다시 시작하게 되었으면...^,^^,^^,^I've been studying on the weapons of the Entrepot. But, the attack destroyed most of the weapons and now, is threatening my study. <br>I hope the pirates are swept any time soon so tHat I can resume my study...^
^dialog_1220022_Title^,^로베토<페르난도 상단 상인>^,^^,^^,^Robeto!Fernando Merchant Guild Member!^
^dialog_1220022_text0^,^해적단의 습격으로 교역품 마차가 전복되었소.<br>엘레나님 덕분에 간신히 목숨을 건질 수 있었지만, 교역품들이 죄다 불타버려 페르난도님을 뵐 면목이 없구려.^,^^,^^,^The trade coach was turned over due to the attack. <br>I could save my life with Ms. Elena's help. But, I don't konw how I can face Master Fernando. I lost all the trade goods in fire.^
^dialog_1220023_Title^,^투흐차<부상당한 상인 견습생>^,^^,^^,^Tuhucha!Injured Merchant Apprentice!^
^dialog_1220023_text0^,^으...으... 로베토님을 뵐 면목이 없습니다.<br>상단의 물품을 전부 빼앗겨 버렸습니다... 저보다 동료들을 구하는 것이 우선입니다...^,^^,^^,^Uh...uh...I'm not worthy of seeing Sir Roberto. <br>They took all the goods tHat belong to the guild... Please, save my colleagues first than me....^
^dialog_1220024_Title^,^엘레나(유적지)^,^^,^^,^Elena(Ruins)^
^dialog_1220024_text0^,^섀도우 클랜에서 이곳을 조사하기 위해 나왔다가 해적단에 습격을 받은 상인들을 돕고 있던 중이었습니다.<br><br>아크라트 초원에서 벌어지는 일들이 심상치 않습니다.<br>사악한 기운이 유적지 도처에 가득합니다. 이곳에서 반드시 해적단의 목적을 밝혀야 합니다!^,^^,^^,^I am from the Onyx Order to investigate this place. I've been helping the merchants attacked by the pirates.<br><br>There's something going on in Akrat Plains.<br>I could feel evil energy all over the ruins. I have to find out their scheme right here!^
^dialog_1220024_Answer_5_Text^,^왕국에서 지금 무슨 일이 벌어지고 있나요?^,^^,^^,^WHat's going on in the kingdom?^
^dialog_1220025_Title^,^비하인드 스케일(테이샤)^,^^,^^,^Behind Scale(Teisha)^
^dialog_1220025_text0^,^이곳에서 다시 뵙는군요. 클랜의 임무를 받고 아크라트 초원을 정찰하던 중이었습니다. 헌데, 얼마 전부터 초원에서 사악한 기운의 영향인지 주변 생명체들이 변질되고 있습니다... 아무래도 좀더 면밀한 조사가 필요할 것 같습니다.^,^^,^^,^It's you again. I was on my duty patrolling Akrat Plains. Anyway, the creatures around here were transformed recently. Maybe it's the evil energy tHat causes the transformation... I think there should be a thorough investigation on this.^
^dialog_1220026_Title^,^경비대장 카라프(베르칸)^,^^,^^,^Guard Captain Karap(Berkan)^
^dialog_1220026_text0^,^저런 도적단 놈들 때문에 오르 광산이 모두 털리게 생겼어! 그러나 마을 경비대만으로는 턱없이 부족해.. <br>무언가 대책이 필요한데 말이야… 자네가 힘을 좀 써줄 수 있는가?^,^^,^^,^Those bandits are stealing the whole mine! But, we don't have enough village guards. <br>Somethign needs to be done… Why don't you help us?^
^dialog_1220027_Title^,^벨로우<베르칸 경비대>^,^^,^^,^Bellow!Berkan Guards!^
^dialog_1220027_text0^,^광산에 도적단이 침략하여 마을이 어수선합니다. 도적단들로부터 베르칸 마을 주민들이 안전하게 살 수 있는 환경을 만들어야 하는 게 우리의 임무이죠.^,^^,^^,^The village is out of control becuase of the bandits. Our duty is to make this plcae safe for Berkan Villagers.^
^dialog_1220028_Title^,^바오톤<베르칸 경비대>^,^^,^^,^Baoton!Berkan Guards!^
^dialog_1220028_text0^,^유일한 마을의 자원인 광산이 도적단들에게 모두 빼앗기게 생겼습니다.<br>심지어 광부들까지 위험에 처해 있습니다. 지원 병력이 올 때까지만 도와주실 수 있으신가요?^,^^,^^,^We are going to lose the only resource we have, the mine, to the bandits. <br>Mine workers are in danger, too. Can you help us just until additional units arrive?^
^dialog_1220029_Title^,^가르 하타나<광산 관리인>^,^^,^^,^Garr Hatana!Mine Janitor!^
^dialog_1220029_text0^,^오르 광석은 가공하기에 따라 그 활용도가 무궁무진한 광물이지. <br>만약 도적단들이 마력을 추출해서 악용이라도 한다면… 상상하기도 싫네… 그러니 무조건 광산을 지켜야만해…!^,^^,^^,^Ore minerals has unlimited potential depending on how you process them. <br>If the bandits extract magic power from the minerals and abuse it.… I don't even want to think about it.… So, we have to defend the mine no matter wHat happens...!^
^dialog_1220030_Title^,^트리파사<광부>^,^^,^^,^Tripasa!Miner!^
^dialog_1220030_text0^,^마을의 귀한 자원인 오르 광석을 도적단들에게 빼앗길 수 없습니다.^,^^,^^,^We can't just lose our precious Ore minerals to the bandits.^
^dialog_1220030_answer_1_text^,^도적단이 광산에서 무슨 일을 벌이고 있나요?^,^^,^^,^WHat the bandits are doing in the mine?^
^dialog_1220031_Title^,^메디슨<광부>^,^^,^^,^Madison!Miner!^
^dialog_1220031_text0^,^못된 도적놈들...! 우리의 피와 땀이 섞인 오르 광산을 이대로 허무하게 빼앗길 수만은 없어요!^,^^,^^,^Darn bandits...! We can't just give up our Ore mine tHat we toiled and moied!!!^
^dialog_1220032_Title^,^엔더 에일(광산 캠프)^,^^,^^,^Ender Ale(Mine Camp)^
^dialog_1220032_text0^,^호위기사가 되서 치메르님을 구하지 못했다니... 정말 면목 없습니다...<br>하지만...! 지금은 슬퍼하기 보다 치메르님을 구하는 일이 먼저입니다. 저를 도와주세요! 부탁 드립니다.^,^^,^^,^I couldn't fulfill my duty to rescue Mistress Chimer as a escort guard....I am asahmed of my self...<br>But, this is not the time for grieving! Rescue of the misstress is the first priority. Please, can you give me a hand? I beg you.^
^dialog_1220033_Title^,^엔더 에일(광산)^,^^,^^,^Ender Ale(Mine)^
^dialog_1220033_text0^,^거...거기, 저 좀 구해주세요...! 어서요!^,^^,^^,^H...Hey there. Please, save me. Please...! Hurry!^
^dialog_1220034_Title^,^엔더 에일(치메르의 집a)^,^^,^^,^Ender Ale(Chimer's House)^
^dialog_1220034_text0^,^으... 으윽...^,^^,^^,^Uggh... u..ggggh...^
^dialog_1220035_Title^,^마렌<마을 주민>^,^^,^^,^Maren!Villager!^
^dialog_1220035_text0^,^휴… 정말 짜증나! 저 도적단 놈들 때문에 우리 주민들이 마음 놓고 살 수가 없어!^,^^,^^,^Argh…I am so pissed off! Those bandit scoundrels are disturbing our life!!!^
^dialog_1220036_Title^,^젬마느<부상당한 여행객>^,^^,^^,^Zemmane!Injured Traveler!^
^dialog_1220036_text0^,^아름다운 초원이라는 이야기를 듣고 왔다. 해적단의 습격으로 꼼짝없이 이곳에 갇히게 됐어요...!<br>놈들을 피해 도망치다가 발목도 다치고... 정말 속상하네요.^,^^,^^,^I came here to see the beautiful grasslands. Now, I am stuck here because of the attack...!<br>I even sprained my ankle....How upsetting it is!!!^
^dialog_1220037_Title^,^모른스<사제>^,^^,^^,^Morns!Priest!^
^dialog_1220037_text0^,^환각 협곡에서 사악한 일들이 벌어지고 있다는 소식을 듣고 파견을 왔습니다. 협곡의 악마들은 세상의 이치에 벗어난 존재들... 정확한 원인은 알 수 없지만, 협곡에서 마신의 기운이 느껴집니다.^,^^,^^,^I was sent off to learn about the foul happenings in the Hallucination Canyon. The devils in the Canyon are existences against reason... I don't know exactly wHat's going on. However, I sense the energy of the God of Ruin.^
^dialog_1220037_Answer_3_Text^,^왜 환각 협곡이라고 불리나요?^,^^,^^,^Why is it called the Hallucination Canyon?^
^dialog_1220037_Answer_4_Text^,^로슈 유적은 어떤 곳입니까?^,^^,^^,^WHat are Roschu Ruins like?^
^dialog_1220038_Title^,^아르토나<방랑마법사>^,^^,^^,^Artona!Roaming Wiard!^
^dialog_1220038_text0^,^삶과 죽음, 그 경계에 있는 모든 것들을 연구하기 위해 미들라스 곳곳을 방랑하며 연구하고 있습니다.<br>책상에 앉아 서적만 들여다본다고 마법의 이치를 깨우칠 수 있는 것은 아닙니다. 더 넓은 세상을 바라봐야 더 큰 이치를 깨우칠 수  있는 법입니다.^,^^,^^,^I am raoming around the Midlath to study everything between life and death.<br>You don't get to learn the reason of magic just sitting at your desk. You have to learn through the bigger world.^
^dialog_1220039_Title^,^바르탄<하스탄 경비대>^,^^,^^,^Bartan!Hastan Guards!^
^dialog_1220039_text0^,^귀족 사병들도 모자라 용병단까지 침략을 해서 전력이 너무 부족합니다! <br>그들을 막아야 합니다!^,^^,^^,^They even have mercenaries and mlitias. They are running out We are short of not as strong as the enemies!! They far outnumber us! <br>We have to stop them!^
^dialog_1220039_Answer_2_Text^,^마을 사람들은 언제부터 변하기 시작했나요?^,^^,^^,^When the villagers dtarted to change?^
^dialog_1220040_Title^,^코르넬<마을 주민>^,^^,^^,^Cornell!Villager!^
^dialog_1220040_text0^,^으… 배고파… 용병단에게 식량을 전부 빼앗겨 버렸어요. 주민들이 너무 힘들어하고 있습니다.^,^^,^^,^Ugh… am so hungry… The mercenaries took all the food. And, the villagers are bone-weary.^
^dialog_1220041_Title^,^로멘<청년 자경단>^,^^,^^,^Romen!Young Vigilante!^
^dialog_1220041_text0^,^권력을 쥐고 있는 자들의 권력 횡포를 더는 두고 보고만 있을 수 없소! <br>자, 나와 같이 저런 못된 귀족 사병들을 내쫓아 버립시다!^,^^,^^,^I can't stand this arrogation of authority any more! <br>Come with me. Let's defeat those malicious militias!^
^dialog_1220042_Title^,^다무슨<농부>^,^^,^^,^Damuson!Farmer!^
^dialog_1220042_text0^,^흉포하게 변해 버린 사람들 때문에 포도 농장이 모두 파괴되어 버렸어요. <br>저희 마을을 도와주실 수 있으신가요?^,^^,^^,^People who became feroucious destroyed all the grape farms. <br>Can you help my village?^
^dialog_1220043_Title^,^라라<어린아이>^,^^,^^,^Lara!Young kid!^
^dialog_1220043_text0^,^엘로라 여신님이 우리를 지켜주고 계시다고 믿고 있어요!^,^^,^^,^I believe tHat the goddess Ellora is protecting us!^
^dialog_1220044_Title^,^에이나<마을 주민>^,^^,^^,^Eina!Villager!^
^dialog_1220044_text0^,^이게 무슨일인지... 포도 농장과 사람들까지… 마을이 한순간에 난장판이 되어버렸어요.^,^^,^^,^I can't believe this.... the grape farms, people...everything is going chaotic.^
^dialog_1220045_Title^,^라디우스<예배당 대주교>^,^^,^^,^Radius!Chapel Archbishop!^
^dialog_1220045_text0^,^엘로라 여신님을 모시는 신성한 예배당을 용병단에게 내어주고 말았네... 모든 것이 나의 불찰일세...<br>치메르님의 예언을 들었다면 이런 일을 겪지는 않았을 텐데... 예배당은 점령당했지만, 엘로라의 성혈만큼은 반드시 지켜내야 하네.^,^^,^^,^We lost the divine chapel for the goddess Ellora to the mercenaries...Everything is my fault...<br>We could have been saved from this choast if we listened to Chimer's prophecy... We must not lose Ellora's Sacred Blood although we lost the chapel..^
^dialog_1220046_Title^,^시이나<예배당 사제>^,^^,^^,^Seana!Chapel Priest!^
^dialog_1220046_text0^,^엘로라 여신님의 힘을 받아 주민들을 악의 기운으로부터 구해야만 합니다.^,^^,^^,^We have to save the villagers with the power of the goddess Ellora.^
^dialog_1220046_Answer_1_Text^,^하스탄 예배당은 어떤 곳입니까?^,^^,^^,^WHat is Hastan Chapel?^
^dialog_1220047_Title^,^아인<농부>^,^^,^^,^Ahin!Farmer!^
^dialog_1220047_text0^,^여태껏 애지중지 키워온 포도를 모두 잃어버릴 순 없어…^,^^,^^,^I can't give up my grapes tHat I have looked after like treasure...^
^dialog_1220048_Title^,^섀도우 클랜 정보원^,^^,^^,^Onyx Order Spy^
^dialog_1220048_text0^,^치메르님의 소식은 들었습니다. 정말 유감입니다...^,^^,^^,^I heard about Chimer. I feel sorry for her...^
^dialog_1220049_Title^,^란테<이동주문사>^,^^,^^,^Rante!Warp Speller!^
^dialog_1220049_text0^,^이동하고자 하는 곳으로 정확한 좌표를 계산하는 것은 어려운 일입니다. 더군다나 지금같이 부정한 기운의 방해를 받는 경우에는 더욱 힘듭니다.^,^^,^^,^It's very hard to calculate the exact location you want to be carried to. Especially in the situation like this, it's even harder as there is so much obliquitous noise.^
^dialog_1220049_Answer_2_Text^,^하스탄 마을로 떠나기^,^^,^^,^To Hastan Village^
^dialog_1220051_Title^,^비하인드 스케일(감시탑)^,^^,^^,^Behind Scale(Watchtower)^
^dialog_1220051_text0^,^사람들을 지키고 보살펴야 할 의무가 있는 귀족들이 마신의 군대와 손을 잡았습니다. 그들은 분명 공주님의 처형 문제를 거론했던 자들과 한패일 것입니다.<br>괘씸한 놈들... 섀도우 클랜에서 반드시 그들의 목적과 배후를 밝혀낼 것입니다...!^,^^,^^,^Aristocrats who are supposed to take care of and protect their people work hand in hadn with the army of the God of Ruin. They must be on the same side with the ones who brought up execution of the princess.<br>How dare...The Onyx Order will reveal their purpose and the stRing-puller...!^
^dialog_1220052_Title^,^이루한<무러미 대사제>^,^^,^^,^Yiruhan!Merumi Archpriest!^
^dialog_1220052_text0^,^사악한 마법사가 신성한 무러미의 땅을 더렵혔습니다...<br>파르나 여신님의 축복이 깃든 물의 성소까지 그들 손에 넘어가다니... 여신님께 부끄러울 따름입니다.<br><br>우리의 형제들만이라도 원래 모습으로 되돌릴 수 있다면 좋으련만... 이미 늦은 것 같군요...^,^^,^^,^An evil wizard stained the sacred place of the Merumi......<br>The Water Alter blessed by the goddess Parna fell into their hands as well...I am ashamed of myself...<br><br>I hope at least I can bRing my brothers back like they were... Maybe it's too late already...^
^dialog_1220053_Title^,^딘 라파도<감시탑 보초병>^,^^,^^,^Dean Rapado!Watchtower Sentinel!^
^dialog_1220053_text0^,^안녕하십니까? 감시탑을 지키고 있는 딘 라파도라고 합니다! <br>요즘 자꾸 무러미들이 거주지를 빠져나와 도움을 요청하고 있어 골치가 아프네요.^,^^,^^,^Nice to meet you. I am Dean Rapado, the watch tower keepr!<br>It's such a headache tHat Merumis keep escaping their habitat and ask for help.^
^dialog_1220054_Title^,^치메르(감시탑)^,^^,^^,^Chimer(Watchtower)^
^dialog_1220054_text0^,^라니아 공주님이 마신에게 잠식되었다고 포기해서는 안됩니다. 그것이 예언의 끝이 아니기에...<br>다가올 비극의 운명에 맞설 힘이 필요합니다.^,^^,^^,^People must not give up even though the princess Lania is was taken by the God of Ruin. THat's not the end of prophecy<br>We need power to fight against the tragic fate approaching.^
^dialog_1220055_Title^,^주마<촌장>^,^^,^^,^Juma!Village Chief!^
^dialog_1220055_text0^,^우리 마을의 자랑이였던 대규모 포도 농장이 폐허로 변해 버렸어. 악령이 되어버린 희생자들에게 가슴 깊이 조의를 표하네...^,^^,^^,^The great grape farm tHat our village was so pround of was ruined. I express my condolences to the victims possessed by evil spirits....^
^dialog_1220056_Title^,^임무 게시판<폐쇄된 감시탑>^,^^,^^,^Quest Board!Abandoned Watchtower!^
^dialog_1220056_text0^,^<br>^,^^,^^,^<br>^
^dialog_1220064_Title^,^라자르<콜렉터>^,^^,^^,^Lazhare<Collector>^
^dialog_1220064_text0^,^저는 초원의 펠로우를 연구하기 위해 초원 관리소에 파견되었습니다.<br><br>이 넓은 초원에 발을 딛고 살아가는 펠로우는 모두 제 연구 대상이죠.^,^^,^^,^I was sent by the grassland management office to research familiars.<br><br>Any familiars on the grasslands are the objects of study.^
^dialog_1220064_answer_4_text^,^콜렉터는 무슨 단체입니까?^,^^,^^,^WHat kind of union the Collector is?^
^dialog_1220064_answer_5_text^,^펠로우 마스터 바인데르에 대해 알고싶습니다.^,^^,^^,^I would like to learn about Familiar Master Bynder.^
^dialog_1220065_Title^,^칼 자한<환술사>^,^^,^^,^Karl Zahan!Necromancer!^
^dialog_1220065_text0^,^나는 초원에서 환술사라 불리는 칼 자한이라고 하네.. 아마 이 초원에서 가장 오래 살아온 사람이지..<br><br>요즘 초원은 예전같지 않네. 대체 무슨 일이 생긴건지…^,^^,^^,^I am Karl Zahan, the necromancer of the grasslands..I am probably the one who lived the longest on the grasslands..<br><br>The grasslands are not like before. I don't know wHat happened....^
^dialog_1220066_Title^,^파르빈<콜렉터>^,^^,^^,^Parvin<Collector>^
^dialog_1220066_text0^,^펠로우 연구에서 가장 중요한건 교감이라고 생각합니다. 펠로우와 주인과의 교감이 이루어지지 않은 상태에선 그 어떤 일도 이루어낼 수 없죠.^,^^,^^,^I think the most important thing in familiar research is communion. You can't do anything when there is no communion established between a familiar and its owner.^
^dialog_1220066_answer_1_text^,^콜렉터는 무슨 단체입니까?^,^^,^^,^WHat kind of union the Collector is?^
^dialog_1220066_answer_2_text^,^펠로우 마스터 바인데르에 대해 알고싶습니다.^,^^,^^,^I would like to learn about Familiar Master Bynder.^
^dialog_1220067_Title^,^노먼<초원 관리인>^,^^,^^,^Norman!Grassland Janitor!^
^dialog_1220067_text0^,^일전에는 아름다웠던 초원이 무러미들 때문에 빠르게 사막화 되고 있네. <br>게다가 맹수들까지 공격을 가담하니 초원이 점점 더 폐허가 되어가고 있어 안타까움을 이루 말할 수가 없네...^,^^,^^,^Merumis accelerate desertfication of the grasslands. <br>It's getteing worse as wild beasts are being involved. I feel very sorry about wHat's happening...^
^dialog_1220068_Title^,^도미니크<경비대>^,^^,^^,^Dominique!Guards!^
^dialog_1220068_text0^,^초원 사람들의 안전과 도적단의 동태를 살필 겸, 이곳 관리소로 파견을 나왔습니다. 현재 마을 병력이 부족해 주민들을 보호할 병사가 없습니다...<br>부디 마을로 무사히 진입에 성공하셔서 주민들의 힘이 되어 주십시오!^,^^,^^,^I was sent to watch over the safety of the people and to read the movements of the bandits. There are no units available for the protection of the villagers as we don't have enough soldiers...<br>Please, enter the village successfully and help the villagers!^
