t_key,t_korean,t_jpn,t_chinese,t_enu,t_f6,t_f7,t_f8,t_f9
^E_D11_MohaScout_002_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaScout_003_Name^,^Kaphir Bandit Ranger^,^クピル盗賊団 巡察者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaScout_003_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_004_Name^,^Mohava Mercenary Swordsman^,^モハマ傭兵団 刃物使い^,^^,^^,^^,^^,^^,^^
^E_D11_FanaRecon_004_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_007_Name^,^Mohava Mercenary Ambush^,^モハマ傭兵団 埋伏者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_007_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_004_Name^,^Karad Pirates Assault Trooper^,^カラード海賊団 突撃兵^,^^,^^,^^,^^,^^,^^
^E_D11_CarmTreas_004_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_008_Name^,^Karad Pirates Deck Soldier^,^カラード海賊団 甲板兵^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_008_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_009_Name^,^Kaphir Bandit Watcher^,^クピル盗賊団 監視者^,^^,^^,^^,^^,^^,^^
^E_D11_MohaSnipe_009_NameDetail^,^red revolution^,^赤い革命^,^^,^^,^^,^^,^^,^^
^E_D11_Key_001_Name^,^Wadi^,^ワディー^,^^,^^,^^,^^,^^,^^
^E_D11_Key_001_NameDetail^,^Drawbridge Key Keeper^,^跳開橋 鍵番^,^^,^^,^^,^^,^^,^^
^E_D11_Key_002_Name^,^THETA^,^セタ^,^^,^^,^^,^^,^^,^^
^E_D11_Key_002_NameDetail^,^Drawbridge Key Keeper^,^跳開橋 鍵番^,^^,^^,^^,^^,^^,^^
