t_key,t_korean,t_jpn,t_chinese,t_enu,t_f6,t_f7
^CA_IT_SC_ RRB_name^,^Warp Pass: Red Revolutionary Base^,^^,^^,^^,^^,^^
^CA_IT_SC_TOMB_name^,^Warp Pass: Tomb of the Wyrm^,^^,^^,^^,^^,^^
^Ex_0_0340_name^,^Christmas Coin^,^^,^^,^^,^^,^^
^Ex_0_0340_description^,^BRing these to <UI_G>Merry</UI_G> at the Titan Platform to exchange them for some very special rewards.^,^^,^^,^^,^^,^^
^n_f09_xmasrab_01_name^,^Rabbini Santi^,^^,^^,^^,^^,^^
^dialog_9031729_text0^,^Nyahohoho~!<br><br>We are in deep trouble. Our Christmas present transporter is beeing attacked every time we try to bRing those children some presents.<br>Please help us to get rid of them so we can deliver the presents in peace, nya!^,^^,^^,^^,^^,^^
^ev_9_1_0067_title^,^Defending the Christmas presents!^,^^,^^,^^,^^,^^
^ev_9_1_0067_request_text^,^Please board the Floating Whale Ship and defend the Christmas presents, nyan!^,^^,^^,^^,^^,^^
^ev_9_1_0067_complete_text^,^Thank you so much for saving the Christmas presents! The kids will be very happy about this.^,^^,^^,^^,^^,^^
^hk_9_1_9074_title^,^Defeat Yatuman in Yatuman's Altar^,^^,^^,^^,^^,^^
^hk_9_1_9074_request_text^,^Go to Brakarr Forest and defeat the evil Braghin Shaman Yatuman at his Altar.^,^^,^^,^^,^^,^^
^hk_9_1_9074_complete_text^,^Well done! Here is your reward.^,^^,^^,^^,^^,^^
^e02_bigbox_s_name^,^Christmas Presents^,^^,^^,^^,^^,^^
^e_event_nabula_name^,^Chaos Nebula^,^^,^^,^^,^^,^^
^e_event_tares_01_name^,^Traes^,^^,^^,^^,^^,^^
^ca_st_cm_0243_name^,^Red Shine (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0563_name^,^(Appearance) Christmas Costume (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0564_name^,^(Appearance) Black Christmas Costume (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0565_name^,^(Appearance) White Christmas Costume (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0566_name^,^(Appearance) Rudolph Costume (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0567_name^,^(Appearance) White Midwinter Outfit (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0568_name^,^(Appearance) Red Midwinter Outfit (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0569_name^,^(Appearance) White Long Padding Jacket (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0570_name^,^(Appearance) Black Long Padding Jacket (30 Days)^,^^,^^,^^,^^,^^
^CA_ST_CM_0571_name^,^(Appearance) Winter Armor (30 Days)^,^^,^^,^^,^^,^^
^ev_st_cm_01555_name^,^(Appearance) Holy Knight Armor^,^^,^^,^^,^^,^^
^ca_st_cm_01777_name^,^(Appearance) Santa Costume^,^^,^^,^^,^^,^^
^jp_ca_st_cm_212_name^,^(Appearance) Dark Emperor^,^^,^^,^^,^^,^^
^jp_ca_st_cm_2121_name^,^(Appearance) Fallen Dark Empreror^,^^,^^,^^,^^,^^
^ca_st_cm_0375_name^,^Red Christmas Hat (4 Days)^,^^,^^,^^,^^,^^
^ca_st_cm_0376_name^,^White Christmas Hat (4 Days)^,^^,^^,^^,^^,^^
^ca_st_cm_0377_name^,^Black Christmas Hat (4 Days)^,^^,^^,^^,^^,^^
^f_ev_dog_006_name^,^Winter Puppy^,^^,^^,^^,^^,^^
^f_ev_dog_007_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^f_ev_dog_008_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^f_ev_dog_009_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^f_ev_dog_010_name^,^Holy Santa Puppy^,^^,^^,^^,^^,^^
^f_e00_karon_0001_name^,^Divine Traes^,^^,^^,^^,^^,^^
^f_e00_karon_0002_name^,^Divine Traes^,^^,^^,^^,^^,^^
^f_na_pega_001_name^,^Chaos Nebula^,^^,^^,^^,^^,^^
^f_na_pega_002_name^,^Chaos Nebula^,^^,^^,^^,^^,^^
^f_f07_f_na_mag_001_name^,^Traes^,^^,^^,^^,^^,^^
^f_f07_f_na_mag_002_name^,^Traes^,^^,^^,^^,^^,^^
^sf2_101_2_08173_name^,^Traes^,^^,^^,^^,^^,^^
^SF2_101_3_0130_name^,^Divine Traes^,^^,^^,^^,^^,^^
^femanticorefrac_description_1^,^Spirit Chaser's Aura enhances your abilities even more inside <UI_G>Fractura</UI_G>.^,^^,^^,^^,^^,^^
^fecongold99_name^,^Shining Legendary Item Box Radiance^,^^,^^,^^,^^,^^
^fecongold99_description_1^,^The shimmeRing aura of your familiar strengthens your Health, Overall Attack, Overall Defense and Move Speed.^,^^,^^,^^,^^,^^
^fecongold03_name^,^Wyvern Breath^,^^,^^,^^,^^,^^
^fecongold03_description_1^,^Fires a dark breath towards the targeted enemy, decreasing his Critical Defense for a short time.^,^^,^^,^^,^^,^^
^fegdragon04_description_1^,^Fires a dark breath towards the targeted enemy, decreasing his Critical Defense for a short time.^,^^,^^,^^,^^,^^
^fegdragon99_description_1^,^Demoroth's infernal rage increases Health, Overall Attack, Overall Defense and Move Speed.^,^^,^^,^^,^^,^^
^feretrunfar01_name^,^Recall: Unknown Tower^,^^,^^,^^,^^,^^
^feretrunfar01_description_1^,^Teleports you to the Unkown Tower in Parna's Coast. <br><UI_R> Cannot be used in Pet form!</UI_R>^,^^,^^,^^,^^,^^
^fejpreturn02_name^,^Recall: Braghin Mine^,^^,^^,^^,^^,^^
^fejpreturn02_description_1^,^Teleports you to the Braghin Mine in Windy Canyon. <br><UI_R> Cannot be used in Pet form!</UI_R>^,^^,^^,^^,^^,^^
^fegolemdef01_description_1^,^The Golem is covered in ancient runes tHat increase your attributes.^,^^,^^,^^,^^,^^
^fedragag00_name^,^Spiritual Resistance^,^^,^^,^^,^^,^^
^fedragag00_description_1^,^The ability of the spiritual familiar cancels the negative effects of all regions.^,^^,^^,^^,^^,^^
^fedragag01_name^,^Glacial Breath^,^^,^^,^^,^^,^^
^fedragag01_description_1^,^Fires a deadly cold breath towards the targeted enemy, damaging him for a short time.^,^^,^^,^^,^^,^^
^fedragag02_name^,^Frosty Breath^,^^,^^,^^,^^,^^
^fedragag02_description_1^,^Fires a cold breath towards the targeted enemy, damaging him.^,^^,^^,^^,^^,^^
^fektdog99_name^,^Golden Puppy's Energy^,^^,^^,^^,^^,^^
^fektdog99_description_8^,^Increases your stats slightly.^,^^,^^,^^,^^,^^
^fektdog98_name^,^Golden Puppy's Energy^,^^,^^,^^,^^,^^
^fektdog98_description_1^,^Increases your stats slightly.^,^^,^^,^^,^^,^^
^fektdog97_name^,^Golden Puppy's Energy^,^^,^^,^^,^^,^^
^fektdog97_description_1^,^Increases your stats slightly.^,^^,^^,^^,^^,^^
^fektdog96_name^,^Shining Puppy's Energy^,^^,^^,^^,^^,^^
^fektdog96_description_1^,^Increases your stats significantly.^,^^,^^,^^,^^,^^
^fektdog01_name^,^Puppy Bite^,^^,^^,^^,^^,^^
^fektdog01_description_1^,^Debuffs the enemies Attack.^,^^,^^,^^,^^,^^
^fektdog02_name^,^Do a Trick!^,^^,^^,^^,^^,^^
^fektdog02_description_1^,^Strengthens your Defense while healing you for a short time.^,^^,^^,^^,^^,^^
^fektdog03_name^,^Do a Trick!^,^^,^^,^^,^^,^^
^fektdog03_description_1^,^Strengthens your Defense while healing you for a short time.^,^^,^^,^^,^^,^^
^fektdog04_name^,^Puppy's Blessing^,^^,^^,^^,^^,^^
^fektdog04_description_1^,^Heals you for a short time. (5% HP every 2 seconds.)^,^^,^^,^^,^^,^^
^fetareso99_name^,^Divine Trae's Brilliance^,^^,^^,^^,^^,^^
^fetareso99_description_7^,^Significantly increases your stats and increases Raredrop Chance a bit.^,^^,^^,^^,^^,^^
^fenabula99_name^,^Nebula's Abyss^,^^,^^,^^,^^,^^
^fenabula99_description_1^,^Increases your stats significantly.^,^^,^^,^^,^^,^^
^fefrosty97_name^,^Frosty's Helping Hand^,^^,^^,^^,^^,^^
^fefrosty97_description_1^,^Increases TempeRing Chance, Triumphan Crafting Chance, Cast Speed, Movement Speed and Rare Drop Chance.^,^^,^^,^^,^^,^^
^map_d94_name^,^Unknown Tower^,^^,^^,^^,^^,^^
^map_e02_name^,^Ravismas Present Transporter^,^^,^^,^^,^^,^^
^ma_17_0065_name^,^Blessed Demoroth Crescent^,^^,^^,^^,^^,^^
^ma_17_0067_name^,^Blessed Crable Crescent^,^^,^^,^^,^^,^^
^ma_17_0070_name^,^Blessed Wrath Wyvern Crescent^,^^,^^,^^,^^,^^
^ca_it_sc_rrb_name^,^Warp Pass: Red Revolutionary Base^,^^,^^,^^,^^,^^
^ca_it_sc_tomb_name^,^Warp Pass: Tomb of the Wyrm^,^^,^^,^^,^^,^^
^CA_BX_00_10024_name^,^Divine Traes Package^,^^,^^,^^,^^,^^
^CA_BX_00_10024_description^,^Contents:<br><UI_G>- Mount: Divine Traes<br>- Adrian FamiliarEquip Set<br>- +7 Extractor<br>- Legendary Mount Scroll and Seal Stone<br>- 10x Premium Coin</UI_G>^,^^,^^,^^,^^,^^
^CA_BX_00_10025_name^,^Fairy Dragon Package^,^^,^^,^^,^^,^^
^CA_BX_00_10025_description^,^Contents:<br><UI_G>- Mount: Fairy Dragon<br>- Adrian FamiliarEquip Set<br>- +7 Extractor<br>- Legendary Mount Scroll and Seal Stone<br>- 10x Premium Coin</UI_G>^,^^,^^,^^,^^,^^
^e_e02_elfrab_01_name^,^Evil Elf Rabbini Rider^,^^,^^,^^,^^,^^
^e_e02_elfrab_02_name^,^Evil Elf Rabbini Rider^,^^,^^,^^,^^,^^
^e_e02_santarab_01_name^,^Evil Santa Rabbini Rider^,^^,^^,^^,^^,^^
^e_e02_santarab_02_name^,^Evil Santa Rabbini^,^^,^^,^^,^^,^^
^e_e02_snowman_1_name^,^Harmless Snowman^,^^,^^,^^,^^,^^
^n_e02_portal_1_name^,^Snow^,^^,^^,^^,^^,^^
^in_e02_snowbank_01_name^,^Space Movement Device^,^^,^^,^^,^^,^^
^area_e02_r_0008_name^,^Hakain's Crossing^,^^,^^,^^,^^,^^
^loading_tip_e02_001^,^Throw snowballs at the rabbinies tHat are coming towards the present. You can not defeat them with normal attacks.^,^^,^^,^^,^^,^^
^dialog_14_30036_text0^,^(This statue looks weird. It seems to read your mind.)^,^^,^^,^^,^^,^^
^dialog_9031732_Text0^,^(The same mobile device as before, but no response)^,^^,^^,^^,^^,^^
^dialog_1430037_text0^,^Growing up alive…<br><br> Since this site was discovered, many adventurers tried and failed dreaming of obtaining money. I tried to make money by selling these items to them.^,^^,^^,^^,^^,^^
^Dialog_1430037_Text0_attach_0^,^Haha! You look afraid!<br><br>I have prepared something special for you!<br> Special potions to survive the curse of this ancient place!<br> If you drink this, even dying people will instantly recover!!<br> I'll give you a special price!^,^^,^^,^^,^^,^^
^Dialog_1430037_answer_0_text^,^Unknown Tower Exclusive Shop^,^^,^^,^^,^^,^^
^ui_partytower_requestexit_msg^,^<font color="#ff3636"> Attention! </font> <br> If you leave, you won't be rewarded.^,^^,^^,^^,^^,^^
^ui_death_msg^,^Dead party members will be automatically resurrected when the surviving members cleared the floor or move to the dungeon entrance when clicking on the normal resurrection button.^,^^,^^,^^,^^,^^
^ui_death_msg_solo^,^You died. Click the normal ressucrection button to move to the dungeon entrance.^,^^,^^,^^,^^,^^
^ui_drop_veryeasy^,^None^,^^,^^,^^,^^,^^
^ui_drop_easy^,^^,^^,^^,^^,^^,^^
^ui_drop_normal^,^^,^^,^^,^^,^^,^^
^ui_drop_hard^,^^,^^,^^,^^,^^,^^
^ui_drop_veryhard^,^^,^^,^^,^^,^^,^^
^e_event_nabula_01_name^,^Chaos Nebula^,^^,^^,^^,^^,^^
^motowerarc02_name^,^Sword Rain^,^^,^^,^^,^^,^^
^sf2_101_2_08172_name^,^Chaos Nebula^,^^,^^,^^,^^,^^
^sf2_901_3_10006_name^,^Blazing Quilin^,^^,^^,^^,^^,^^
^sf2_901_3_10002_name^,^Bloodguard Kerav^,^^,^^,^^,^^,^^
^sf2_901_3_10004_name^,^Aschente^,^^,^^,^^,^^,^^
^sf2_101_3_0252_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^sf2_101_3_0253_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^sf2_101_3_0254_name^,^Santa Puppy^,^^,^^,^^,^^,^^
^Sf2_101_3_0255_name^,^Holy santa Puppy^,^^,^^,^^,^^,^^
^fechaserbless_01_name^,^Spirit Chaser's Blessing^,^^,^^,^^,^^,^^
^fechaserbless_01_description_1^,^Strenghtens your attack and defense.^,^^,^^,^^,^^,^^
^fecongold99_description_8^,^The shimmeRing aura of your familiar strengthens your Health, Overall Attack, Overall Defense and Move Speed.^,^^,^^,^^,^^,^^
^fetareso99_description_1^,^Significantly increases your stats and increases Raredrop Chance a bit.^,^^,^^,^^,^^,^^
^fektdog96_description_8^,^The golden puppy's shimmer increases your stats.^,^^,^^,^^,^^,^^
^fektdog97_description_8^,^The golden puppy's shimmer increases your stats.^,^^,^^,^^,^^,^^
^fektdog98_description_8^,^The golden puppy's shine increases your stats.^,^^,^^,^^,^^,^^
^ca_bx_00_1811_name^,^Physical Boost Talisman (30 days)^,^^,^^,^^,^^,^^
^ca_bx_00_1812_name^,^Magic Boost Talisman (30 days)^,^^,^^,^^,^^,^^
^ma_17_0066_name^,^Blessed Dangellion of Courage Crescent^,^^,^^,^^,^^,^^
^Ma_17_0068_name^,^Blessed Dangellion of Wisdom Crescent^,^^,^^,^^,^^,^^
^e_event_rabormi_04_name^,^Hidden Easter Bunny^,^^,^^,^^,^^,^^
^e_event_rabormi_03_name^,^Giant Easter Bunny^,^^,^^,^^,^^,^^
^ex_0_0359_name^,^Colored Easter Eggs^,^^,^^,^^,^^,^^
^gage_collect_0053^,^Open Treasure-Egg^,^^,^^,^^,^^,^^
^action_tooltip_collect_0061^,^Open Treasure-Egg^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_title^,^Hakains’ Easter Invader^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_RewarderDesc^,^Easter Bunny Rabbini^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_request_text^,^Please go and safe Hakain's Crossing from this giant nuisance!^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_accept_text^,^^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_ongoing_text^,^^,^^,^^,^^,^^,^^
^hk_9_1_easter_1_complete_text^,^Yay! Let's hope he will stay away for some time now. Here is your reward, nyan.^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_title^,^A powerful tool!^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_RewarderDesc^,^Easter Bunny Rabbini^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_request_text^,^Take this, it will help you to fight the giant invader tHat comes to this town around this time of the year.^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_accept_text^,^^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_ongoing_text^,^^,^^,^^,^^,^^,^^
^hk_9_1_easter_2_complete_text^,^Now go and scare tHat giant bunny away, nyan!^,^^,^^,^^,^^,^^
^ma_13_1048_name^,^Fiery Fragment^,^^,^^,^^,^^,^^
^Ma_13_1048_description^,^A fragment pulsating with a fiery and unholy power. It's origin is unknown. <br>Gather them and keep them with you, maybe someone knows wHat they are for.^,^^,^^,^^,^^,^^
^Ma_13_1050_name^,^Magical Fragment^,^^,^^,^^,^^,^^
^Ma_13_1050_description^,^A fragment pulsating with a shiny and magical power. It's origin is unknown. <br>Gather them and keep them with you, maybe someone knows wHat they are for.^,^^,^^,^^,^^,^^
^ca_it_sc_fairy_name^,^Warp Pass: Fairy Dragon’s Nest^,^^,^^,^^,^^,^^
^ca_it_sc_dira_name^,^Warp Pass: Diramunus’ Lair^,^^,^^,^^,^^,^^
^cr_08_0091_name^,^Fated Fairy Dragon Mark^,^^,^^,^^,^^,^^
^Cr_08_0092_name^,^Fated Diramunus Mark^,^^,^^,^^,^^,^^
^e_event_fairyd_01_name^,^Fairy Dragon^,^^,^^,^^,^^,^^
^e_event_diram_01_name^,^Exiled Diramunus^,^^,^^,^^,^^,^^
^e_f07_celfattack_02_name^,^[Elite] Chaos Elf Agonal Assassin^,^^,^^,^^,^^,^^
^e_f07_celfguard_02_name^,^[Elite] Chaos Elf Agonal Guard^,^^,^^,^^,^^,^^
^hk_dira_daily_1_title^,^Skeleton Subjugation^,^^,^^,^^,^^,^^
^hk_dira_daily_1_RewarderDesc^,^Guard Constance^,^^,^^,^^,^^,^^
^hk_dira_daily_1_request_text^,^First of all we need to decimate the numbers of these skeletons to calm the situation around here.<br>Please help me out there a bit and report back to me when you think you are done.^,^^,^^,^^,^^,^^
^hk_dira_daily_1_complete_text^,^Great. This should be good for some time.<br>I feel much better already, thank you adventurer.<br>But I have a feeling tHat I might need your help again soon.^,^^,^^,^^,^^,^^
^hk_dira_daily_2_title^,^Cursed Familiars^,^^,^^,^^,^^,^^
^hk_dira_daily_2_RewarderDesc^,^Puris^,^^,^^,^^,^^,^^
^hk_dira_daily_2_request_text^,^I need you to take care of the Bonethorpes tHat are flying above Parnas Sssteps. (320 – 380m altitude)<br>Some weird magic power seemed to have brought them back to life.<br>BRing me their bones once you have taken care of them, so we can bury them again.^,^^,^^,^^,^^,^^
^hk_dira_daily_2_complete_text^,^Thank you, friend.<br>We will start the burrying ritual as soon as possible, to drive the magic power out of these bones, so they can finally rest in peace.<br>Please come back later, we might need your help again.^,^^,^^,^^,^^,^^
^hk_dira_daily_3_title^,^Restless Bones^,^^,^^,^^,^^,^^
^hk_dira_daily_3_RewarderDesc^,^Grimm Golden^,^^,^^,^^,^^,^^
^hk_dira_daily_3_request_text^,^Go to the Lost Roost and take care of the undeads troup leaders.<br>Report back to me once you have finished your job. Maybe it will give us a hint.^,^^,^^,^^,^^,^^
^hk_dira_daily_3_complete_text^,^Good job out there. You did wHat I felt unable to do.<br>I am sorry tHat I couldn't be any more helpful.<br>If it's not asked too much, I would like you to help me out again tomorrow.^,^^,^^,^^,^^,^^
^hk_dira_daily_4_title^,^A Foul Stench^,^^,^^,^^,^^,^^
^hk_dira_daily_4_RewarderDesc^,^Laman’tuul^,^^,^^,^^,^^,^^
^hk_dira_daily_4_request_text^,^We have to take care of all the undead in this area.<br>Even if it helps only temporarily.<br><br>Please do your best. Don't let these poor souls be tortured.^,^^,^^,^^,^^,^^
^hk_dira_daily_4_complete_text^,^Good job.<br>But I think I will need your help again tomorrow.<br>I hope you can find some time for it.^,^^,^^,^^,^^,^^
^hk_dira_daily_5_title^,^Illusionary Fears^,^^,^^,^^,^^,^^
^hk_dira_daily_5_RewarderDesc^,^Morns^,^^,^^,^^,^^,^^
^hk_dira_daily_5_request_text^,^Find the source of the eerie sounds and eliminate it.^,^^,^^,^^,^^,^^
^hk_dira_daily_5_complete_text^,^The sounds got weaker, but I can still somewHat hear them.<br>I would like you to check on me again tomorrow, in case it is getting worse again.<br>If it's not asked too much.^,^^,^^,^^,^^,^^
^hk_dira_daily_6_title^,^Firefighter^,^^,^^,^^,^^,^^
^hk_dira_daily_6_RewarderDesc^,^Private Trid^,^^,^^,^^,^^,^^
^hk_dira_daily_6_request_text^,^Reduce the numbers of the Caldera wildlife to get them under controll again.<br>Report back to me once you think you have done enough for now.^,^^,^^,^^,^^,^^
^hk_dira_daily_6_complete_text^,^Thank you, adventurer.<br>THat should be enough for today. I would like you to come again tomorrow and help me again with this.^,^^,^^,^^,^^,^^
^hk_dira_daily_7_title^,^Rampaging Giants^,^^,^^,^^,^^,^^
^hk_dira_daily_7_RewarderDesc^,^Cynth Mayer^,^^,^^,^^,^^,^^
^hk_dira_daily_7_request_text^,^Try to calm down the Tukan Warriors and Reavers of the Bullwark by reducing their numbers bit by bit.<br>You might need to do it a few times until they return back to normal.^,^^,^^,^^,^^,^^
^hk_dira_daily_7_complete_text^,^Okay tHat should be enough for today.<br>Please come back and see me again tomorrow.^,^^,^^,^^,^^,^^
^hk_dira_daily_8_title^,^Warp Pass: Diramunus' Lair^,^^,^^,^^,^^,^^
^hk_dira_daily_8_RewarderDesc^,^Cynth Mayer^,^^,^^,^^,^^,^^
^hk_dira_daily_8_request_text^,^You want to visit the Diramunus?<br>Okay, please wait a moment.^,^^,^^,^^,^^,^^
^hk_dira_daily_8_complete_text^,^Here take this magic scroll. It will bRing you to his lair.^,^^,^^,^^,^^,^^
^hk_dira_main_0_0_title^,^Rumors of Demonic^,^^,^^,^^,^^,^^
^hk_dira_main_0_0_RewarderDesc^,^Elder Serlian^,^^,^^,^^,^^,^^
